t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333099999999999952e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,2.294290963186501522e-03,-5.560448701576352413e-05,3.282554143269256763e-01,4.364825712351499964e-03,-1.193778907741600663e-02,9.415678390612356938e-03,9.998748834173646349e-01,-2.084977047679985665e-02,7.265744493708289342e-01,-1.507978655413678482e+00,-2.069051046305249789e-02,7.391981291897709028e-01,-1.498883083509188419e+00,2.739607692507413633e-03,7.490857429705441994e-01,-1.555446310677247368e+00,2.968889671972094451e-03,7.771171512131762604e-01,-1.576698191974206464e+00
1.000000000000000056e-01,5.707108422071153001e-03,-1.817876214702657516e-04,3.193251177631141191e-01,1.438227443284145930e-02,-2.575199262960001234e-02,2.674176649877698514e-02,9.992071171595348078e-01,-6.226981631789488963e-02,7.651025857956964549e-01,-1.538531220049139892e+00,-6.110414178723475725e-02,8.016118708549644367e-01,-1.514726444973271802e+00,5.914303296372710322e-03,8.063959277255593472e-01,-1.628801589296550167e+00,7.958337494892152655e-03,8.896251304741049637e-01,-1.689912109147591046e+00
1.500000000000000222e-01,9.675171741204727574e-03,-4.615064667361714495e-04,3.080593127633647343e-01,2.980695984406992252e-02,-3.571222286304637228e-02,5.016971690356696045e-02,9.976568457084079578e-01,-1.216543615127668315e-01,8.056291998346263306e-01,-1.591864996957685019e+00,-1.178314561183356757e-01,8.759502413948707655e-01,-1.549738245619166843e+00,9.491370666897138916e-03,8.474322267503211492e-01,-1.695175430582379184e+00,1.756029609112524578e-02,1.011460556439011338e+00,-1.811207439604920255e+00
2.000000000000000111e-01,1.410061341983472570e-02,-1.116644743678253714e-03,2.959724252091839869e-01,4.931924808618373679e-02,-3.941189462126068466e-02,7.796543582433895780e-02,9.949551272028789306e-01,-1.950306039313821627e-01,8.420924910545888320e-01,-1.660230425122251718e+00,-1.861071654331651337e-01,9.551946625764956567e-01,-1.596930251916806931e+00,1.459913795919174848e-02,8.614165330690750633e-01,-1.740760289115757642e+00,3.651450894810243791e-02,1.129131131027678592e+00,-1.924211858015560050e+00
2.500000000000000000e-01,1.930968070461410932e-02,-2.493617393214239437e-03,2.845185859186125654e-01,7.123152706199090134e-02,-3.663731627790207251e-02,1.082455242892457481e-01,9.908918624550895338e-01,-2.766862548205539230e-01,8.717597858048099502e-01,-1.732273470788576741e+00,-2.595305901819230932e-01,1.035166599923357023e+00,-1.646055915921439183e+00,2.211375501361222823e-02,8.475923063071630903e-01,-1.758132234458622545e+00,6.924424716658357515e-02,1.235746538239114178e+00,-2.018837428121169175e+00
2.999999999999999889e-01,2.598207028477508840e-02,-5.043864821387013427e-03,2.751090996772999620e-01,9.429163473225764258e-02,-2.876027962658013123e-02,1.389953063014413015e-01,9.853741618093544430e-01,-3.588669955911895082e-01,8.947492985716535285e-01,-1.794946847386778011e+00,-3.302899691365174806e-01,1.113542995486355380e+00,-1.687149123723264976e+00,3.186143039739593869e-02,8.121588614491120905e-01,-1.743369833363814125e+00,1.171387168805686080e-01,1.327417877860302298e+00,-2.087660450909193610e+00
3.499999999999999778e-01,3.511618560073732215e-02,-9.358703249438994967e-03,2.691542702718754954e-01,1.184750885282573191e-01,-1.819204185380536923e-02,1.677799849565998758e-01,9.785103881203173204e-01,-4.311533006087810982e-01,9.130413227593449088e-01,-1.833643888051659676e+00,-3.897406592372791856e-01,1.188671649959508470e+00,-1.712759178497959001e+00,4.166126023571089382e-02,7.653234739383132368e-01,-1.693972027492649968e+00,1.752620036657226987e-01,1.400964929239448153e+00,-2.123919637114412673e+00
3.999999999999999667e-01,4.810498460318059222e-02,-1.635663900328476403e-02,2.681059476503985795e-01,1.458135929215639837e-01,-7.068967208983510837e-03,1.905059589667953968e-01,9.707707790307886775e-01,-4.805513279244734703e-01,9.277814101665576851e-01,-1.832243048082064618e+00,-4.298502204436419061e-01,1.258100552286420815e+00,-1.721386751671331927e+00,4.492586242725604695e-02,7.178082142542131505e-01,-1.605361402869741383e+00,2.272116858872942347e-01,1.450760140882336735e+00,-2.119732370077441530e+00
4.499999999999999556e-01,6.642736781449488925e-02,-2.716896893209730726e-02,2.716971563650499299e-01,1.773694215139607622e-01,1.722617470161605683e-03,2.000373526287314574e-01,9.635985566895287624e-01,-4.906724372940746148e-01,9.418698645110472611e-01,-1.780517131446551327e+00,-4.400967787841862378e-01,1.322147378534047180e+00,-1.722231516531599338e+00,3.680285121292512646e-02,6.873592116895450577e-01,-1.483869380008373762e+00,2.537600889724250242e-01,1.481498603127364033e+00,-2.077826183493105994e+00
4.999999999999999445e-01,8.937525729774503658e-02,-5.067231953821611790e-02,2.988425985716416378e-01,2.590786825021648143e-01,6.348059996145416495e-02,1.820915492576049011e-01,9.464095928246086808e-01,-4.089619558735284044e-01,9.723741832359231729e-01,-1.812640745648557372e+00,-5.168123590577603510e-01,1.294512915932142016e+00,-1.756250081901857163e+00,1.162390559300127135e-01,6.697351824149883059e-01,-1.466450695787336889e+00,2.802831007498052807e-01,1.531148760298333134e+00,-2.086931959912693202e+00
5.499999999999999334e-01,1.046251279633243214e-01,-6.687098053073532722e-02,3.195117504854939061e-01,3.309604260194742853e-01,1.138915849968119426e-01,1.618743319494559130e-01,9.226541084999509978e-01,-3.224385018632921485e-01,1.006954343397511220e+00,-1.869695364922395076e+00,-6.230041380883535318e-01,1.248924971110456639e+00,-1.777312576001641498e+00,2.089556321226006819e-01,6.565014745510344696e-01,-1.500805583517101249e+00,2.915979798122371180e-01,1.576637683036313353e+00,-2.118360322825987740e+00
