FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
3.333934151485408947e-05,8.564531843794237487e-01,-1.802844856830380760e+00,3.333932666285481359e-05,8.564531847075284032e-01,-1.802844856947986685e+00,3.322684063698743258e-05,8.616782164134948463e-01,-1.813967676361301962e+00,3.322665022369046593e-05,8.616782168011597465e-01,-1.813967675365826260e+00
5.778100220714354714e-05,8.598052092738316388e-01,-1.776262171436688408e+00,5.778096497461664399e-05,8.598052095175395815e-01,-1.776262171710786264e+00,5.772885844601131119e-05,8.707840909892989867e-01,-1.799175002704724191e+00,5.772890899453420494e-05,8.707840912380229170e-01,-1.799175002432087167e+00
7.271348910836769196e-05,8.587939296627927765e-01,-1.741880073196963474e+00,7.271356593847837907e-05,8.587939295332517320e-01,-1.741880073094469017e+00,7.276194608269820297e-05,8.766272821808545057e-01,-1.778437153407617988e+00,7.276200318829906353e-05,8.766272820200445848e-01,-1.778437153686992289e+00
7.431110244563487511e-05,8.540868352190277291e-01,-1.697801847073826309e+00,7.431109332256368013e-05,8.540868346522826338e-01,-1.697801846642061907e+00,7.447203680433269466e-05,8.813396853479972259e-01,-1.752718040009479283e+00,7.447200225639091678e-05,8.813396847729186856e-01,-1.752718041000183469e+00
6.674425407342296881e-05,8.469550144833837280e-01,-1.650190938614117364e+00,6.674426383357355585e-05,8.469550137475490015e-01,-1.650190938119191264e+00,6.694685560480548986e-05,8.842461074112862862e-01,-1.724209317200719571e+00,6.694684796473825432e-05,8.842461067227933569e-01,-1.724209318422246895e+00
5.601493528245805122e-05,8.377839149124056695e-01,-1.602032667261913401e+00,5.601490151482637535e-05,8.377839142813076068e-01,-1.602032666886330281e+00,5.618784251873956437e-05,8.847666971465417696e-01,-1.694144860029164645e+00,5.618785697053368911e-05,8.847666965917786452e-01,-1.694144861037590877e+00
4.561050263427950628e-05,8.270407533437196257e-01,-1.555442319925431471e+00,4.561052088951589946e-05,8.270407530007518604e-01,-1.555442319736250356e+00,4.570886154301228909e-05,8.824273152738185688e-01,-1.662997029521034120e+00,4.570884198889915896e-05,8.824273149823786966e-01,-1.662997030052212777e+00
3.755138315332739128e-05,8.152847319277241045e-01,-1.511549644784337731e+00,3.755137821974586674e-05,8.152847319012258565e-01,-1.511549644764443645e+00,3.756898964984096886e-05,8.773901383735821513e-01,-1.631288396508236982e+00,3.756899763056209432e-05,8.773901383417548328e-01,-1.631288396558894682e+00
3.292158754109585241e-05,8.029985858143929844e-01,-1.471067336258834013e+00,3.292157812666527967e-05,8.029985859992753161e-01,-1.471067336337430476e+00,3.288293865506213242e-05,8.699657140730592264e-01,-1.599509550800056523e+00,3.288295295066216196e-05,8.699657142057662940e-01,-1.599509550546422298e+00
