t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
2.000000000000000042e-02,2.425506316364432931e-03,-2.860504284335884828e-06,3.130712826431469309e-01,-1.120109037594362660e-05,-2.409656825022245003e-03,-7.042752280516293100e-08,9.999970967100435537e-01,3.333934151485408947e-05,8.564531843794237487e-01,-1.802844856830380760e+00,3.333932666285481359e-05,8.564531847075284032e-01,-1.802844856947986685e+00,3.322684063698743258e-05,8.616782164134948463e-01,-1.813967676361301962e+00,3.322665022369046593e-05,8.616782168011597465e-01,-1.813967675365826260e+00
4.000000000000000083e-02,5.333142232641965505e-03,-5.045009345313423680e-06,3.166488570376854716e-01,-1.941868925759381625e-05,-4.920385822440510870e-03,-1.687507166771702063e-07,9.999878946398522706e-01,5.778100220714354714e-05,8.598052092738316388e-01,-1.776262171436688408e+00,5.778096497461664399e-05,8.598052095175395815e-01,-1.776262171710786264e+00,5.772885844601131119e-05,8.707840909892989867e-01,-1.799175002704724191e+00,5.772890899453420494e-05,8.707840912380229170e-01,-1.799175002432087167e+00
5.999999999999999778e-02,8.011454894362286805e-03,-6.461686935706146850e-06,3.212835596078464362e-01,-2.445897332596642357e-05,-7.759932569635861685e-03,-3.002280366902212662e-07,9.999698909708147898e-01,7.271348910836769196e-05,8.587939296627927765e-01,-1.741880073196963474e+00,7.271356593847837907e-05,8.587939295332517320e-01,-1.741880073094469017e+00,7.276194608269820297e-05,8.766272821808545057e-01,-1.778437153407617988e+00,7.276200318829906353e-05,8.766272820200445848e-01,-1.778437153686992289e+00
8.000000000000000167e-02,1.062346217504017525e-02,-6.746945156406804989e-06,3.270180019366955571e-01,-2.501564210945359377e-05,-1.148480571479894990e-02,-4.334533242583065033e-07,9.999340471309711154e-01,7.431110244563487511e-05,8.540868352190277291e-01,-1.697801847073826309e+00,7.431109332256368013e-05,8.540868346522826338e-01,-1.697801846642061907e+00,7.447203680433269466e-05,8.813396853479972259e-01,-1.752718040009479283e+00,7.447200225639091678e-05,8.813396847729186856e-01,-1.752718041000183469e+00
1.000000000000000056e-01,1.318532587732588503e-02,-6.194968266745856405e-06,3.331368316305407529e-01,-2.247799956311329148e-05,-1.522430705689833269e-02,-5.128493540478431496e-07,9.998841032685307217e-01,6.674425407342296881e-05,8.469550144833837280e-01,-1.650190938614117364e+00,6.674426383357355585e-05,8.469550137475490015e-01,-1.650190938119191264e+00,6.694685560480548986e-05,8.842461074112862862e-01,-1.724209317200719571e+00,6.694684796473825432e-05,8.842461067227933569e-01,-1.724209318422246895e+00
1.200000000000000094e-01,1.557493662821713039e-02,-5.310312412139539709e-06,3.392875572573330056e-01,-1.886498371491342912e-05,-1.861482600192975595e-02,-5.338675812346159654e-07,9.998267289369420219e-01,5.601493528245805122e-05,8.377839149124056695e-01,-1.602032667261913401e+00,5.601490151482637535e-05,8.377839142813076068e-01,-1.602032666886330281e+00,5.618784251873956437e-05,8.847666971465417696e-01,-1.694144860029164645e+00,5.618785697053368911e-05,8.847666965917786452e-01,-1.694144861037590877e+00
1.400000000000000133e-01,1.776606243311118147e-02,-4.409637816397837032e-06,3.452703731737861714e-01,-1.535423294128905280e-05,-2.134501952274857686e-02,-5.132930196125062583e-07,9.997721689992963290e-01,4.561050263427950628e-05,8.270407533437196257e-01,-1.555442319925431471e+00,4.561052088951589946e-05,8.270407530007518604e-01,-1.555442319736250356e+00,4.570886154301228909e-05,8.824273152738185688e-01,-1.662997029521034120e+00,4.570884198889915896e-05,8.824273149823786966e-01,-1.662997030052212777e+00
1.600000000000000033e-01,1.976984821257285821e-02,-3.696450721638312128e-06,3.509696151889970528e-01,-1.263114638829827608e-05,-2.333254400237060044e-02,-4.793068806797790721e-07,9.997277590577355877e-01,3.755138315332739128e-05,8.152847319277241045e-01,-1.511549644784337731e+00,3.755137821974586674e-05,8.152847319012258565e-01,-1.511549644764443645e+00,3.756898964984096886e-05,8.773901383735821513e-01,-1.631288396508236982e+00,3.756899763056209432e-05,8.773901383417548328e-01,-1.631288396558894682e+00
1.799999999999999933e-01,2.159290826379248532e-02,-3.295057221102181976e-06,3.563106116019708058e-01,-1.106520260522145886e-05,-2.457906249511236998e-02,-4.566139820524477532e-07,9.996978891466231643e-01,3.292158754109585241e-05,8.029985858143929844e-01,-1.471067336258834013e+00,3.292157812666527967e-05,8.029985859992753161e-01,-1.471067336337430476e+00,3.288293865506213242e-05,8.699657140730592264e-01,-1.599509550800056523e+00,3.288295295066216196e-05,8.699657142057662940e-01,-1.599509550546422298e+00
1.999999999999999833e-01,2.323596839856885074e-02,-3.216593945997730904e-06,3.612233518892671302e-01,-1.063219004599199567e-05,-2.509701045961792651e-02,-4.548881633119722126e-07,9.996850203702861704e-01,3.164551192457857362e-05,7.906443312182835914e-01,-1.434696543895020771e+00,3.164550971687277403e-05,7.906443314794366906e-01,-1.434696544004517627e+00,3.158257717404283637e-05,8.604840925475016888e-01,-1.568173215460882730e+00,3.158257912938958244e-05,8.604840927400436712e-01,-1.568173215100687523e+00
2.199999999999999734e-01,2.470930526916340075e-02,-3.397465885361542775e-06,3.656810975288916077e-01,-1.107200501853838709e-05,-2.499838816246617232e-02,-4.717776757521969051e-07,9.996874914024216352e-01,3.295376024842637449e-05,7.786069500341586958e-01,-1.402580881525518297e+00,3.295375150744316327e-05,7.786069502790494701e-01,-1.402580881625909770e+00,3.288996093107558587e-05,8.495125796800441220e-01,-1.537785364698815327e+00,3.288996605963897879e-05,8.495125798644095338e-01,-1.537785364360225060e+00
2.399999999999999634e-01,2.600712374092729526e-02,-3.758376271395552833e-06,3.696676661482724557e-01,-1.209551046471554158e-05,-2.442187925828850567e-02,-5.000533554816955422e-07,9.997017413543611841e-01,3.599285417679420727e-05,7.671728195408954454e-01,-1.374696968485672688e+00,3.599286512881505267e-05,7.671728197370758506e-01,-1.374696968564869781e+00,3.593847500338279193e-05,8.376351096018473941e-01,-1.508880463208975398e+00,3.593846909370143085e-05,8.376351097531201662e-01,-1.508880462936363465e+00
2.599999999999999534e-01,2.712917621370477053e-02,-4.250913062730505337e-06,3.731846318151769148e-01,-1.353116858311106825e-05,-2.347418133225359638e-02,-5.338485622153146675e-07,9.997244433479672843e-01,4.025701360787011803e-05,7.565357315029533902e-01,-1.350949503099314164e+00,4.025701761111301851e-05,7.565357316555546552e-01,-1.350949503159586840e+00,4.021337662702545446e-05,8.252919082833574116e-01,-1.481811084562676406e+00,4.021337490030544372e-05,8.252919084026802965e-01,-1.481811084350736829e+00
2.799999999999999711e-01,2.809211687438917943e-02,-4.864701204963457531e-06,3.762442775740154621e-01,-1.533836923677005308e-05,-2.228076016631713036e-02,-5.709279126098903379e-07,9.997517529321063856e-01,4.562656872689751928e-05,7.468771483184230009e-01,-1.331066287641038182e+00,4.562656715428578172e-05,7.468771484381271364e-01,-1.331066287686609062e+00,4.559274166702122769e-05,8.130027953131946372e-01,-1.456915611096299079e+00,4.559274112633558771e-05,8.130027954062223339e-01,-1.456915610932260297e+00
2.999999999999999889e-01,2.890681377663909674e-02,-5.613900375054800418e-06,3.788644308030642005e-01,-1.755760969028913855e-05,-2.096112267760874212e-02,-6.112907507538851417e-07,9.997802913777861233e-01,5.222119893396016618e-05,7.383076058025755950e-01,-1.314708010062119348e+00,5.222120283489739052e-05,7.383076058901271166e-01,-1.314708010093789792e+00,5.219774236965754306e-05,8.012265201746592291e-01,-1.434488612586419798e+00,5.219774265125868792e-05,8.012265202410920883e-01,-1.434488612469258850e+00
3.200000000000000067e-01,2.959280122725753415e-02,-6.517307849221498524e-06,3.810698437742591205e-01,-2.024495865466950022e-05,-1.962131648914903354e-02,-6.555335223562808631e-07,9.998074832331195205e-01,6.020637975425953187e-05,7.309027820484926830e-01,-1.301478592638649623e+00,6.020638096329600388e-05,7.309027820916128571e-01,-1.301478592653109390e+00,6.019642602970857911e-05,7.903699790376577106e-01,-1.414739698860304928e+00,6.019642771906819593e-05,7.903699790687832571e-01,-1.414739698804818424e+00
3.400000000000000244e-01,3.015872948855138555e-02,-7.579517495760593722e-06,3.828894465441374240e-01,-2.341340296687860622e-05,-1.834163391239826413e-02,-7.033673398711324242e-07,9.998317778090178853e-01,6.961998277199110512e-05,7.246584324503368979e-01,-1.290994445516023825e+00,6.961998499622252428e-05,7.246584324301416080e-01,-1.290994445507962052e+00,6.962816411534443386e-05,7.806941263358502248e-01,-1.397776576012323524e+00,6.962816504532460713e-05,7.806941263183748703e-01,-1.397776576041309005e+00
