FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
-3.376763252590837781e-06,7.062817059817940724e-01,-1.496555865881977310e+00,-3.376719407663818017e-06,7.062829167154811572e-01,-1.496558773316444046e+00,-3.629383001374125975e-06,7.141961690065167234e-01,-1.513086017294639873e+00,-3.629396309555536285e-06,7.141972062213870487e-01,-1.513088569231161973e+00
-7.841391743479753760e-06,7.175169164885394357e-01,-1.491624590587518728e+00,-7.841389402070621684e-06,7.175198553685259162e-01,-1.491631722841773033e+00,-8.561049556292608852e-06,7.390394635891427422e-01,-1.536235126843160215e+00,-8.561073783020647647e-06,7.390418515603979221e-01,-1.536241163175468660e+00
-1.119253641784679605e-05,7.319165600089101442e-01,-1.486963215950686479e+00,-1.119253177952357919e-05,7.319210577654413630e-01,-1.486974163707974750e+00,-1.241705336657379930e-05,7.701546239695189477e-01,-1.565468570078431432e+00,-1.241709411139883606e-05,7.701580891502567416e-01,-1.565477518504061694e+00
-1.252051902215061304e-05,7.481409637351279507e-01,-1.483791741545804621e+00,-1.252051786503326439e-05,7.481464994553189696e-01,-1.483805259136352861e+00,-1.417902740354143583e-05,8.042475418293110190e-01,-1.597781840045537027e+00,-1.417907835055396626e-05,8.042515718795039126e-01,-1.597792508532211997e+00
-1.156505914651135322e-05,7.651994176060619157e-01,-1.482879471724967591e+00,-1.156505194746039194e-05,7.652052947864749211e-01,-1.482893959195998645e+00,-1.352831557896475624e-05,8.388730791123329977e-01,-1.630965032913507251e+00,-1.352836820272447617e-05,8.388770863996644067e-01,-1.630976053169526985e+00
-8.380170405138607562e-06,7.823724209638995841e-01,-1.484613158486992379e+00,-8.380150931797726124e-06,7.823778753215927528e-01,-1.484626940418094287e+00,-1.049974391513462634e-05,8.722857058820068232e-01,-1.663463437582048066e+00,-1.049978834452037289e-05,8.722890989435335696e-01,-1.663473474633019755e+00
-3.358519951532786015e-06,7.991890056549325605e-01,-1.489058555692776453e+00,-3.358489013617942688e-06,7.991933383171783145e-01,-1.489070169591915072e+00,-5.501797994114132311e-06,9.034035142961421849e-01,-1.694325035261528667e+00,-5.501832643479426080e-06,9.034057773865489249e-01,-1.694332980784823972e+00
2.882884257455151805e-06,8.153676276403528655e-01,-1.496043497396565947e+00,2.882917855397902658e-06,8.153703072395512841e-01,-1.496051885026069339e+00,8.113584377370348950e-07,9.316736927991086104e-01,-1.723056456728521368e+00,8.113254185426910992e-07,9.316744430912851094e-01,-1.723061541280550335e+00
9.674252928250218816e-06,8.307538157996376960e-01,-1.505255188398520128e+00,9.674275368133766271e-06,8.307545202848298782e-01,-1.505259752806193063e+00,7.725126169833811937e-06,9.569061179980138387e-01,-1.749467161150708439e+00,7.725079547375690006e-06,9.569051240238795053e-01,-1.749468969133331164e+00
1.640627325716775638e-05,8.452797218782596156e-01,-1.516320511001483240e+00,1.640627020721658206e-05,8.452783346025931621e-01,-1.516321082951726851e+00,1.458770654959295275e-05,9.791480329130244353e-01,-1.773560764931359390e+00,1.458762928812603960e-05,9.791452072574224896e-01,-1.773559193655673161e+00
2.258759038619613388e-05,8.589395731861516614e-01,-1.528861651881752381e+00,2.258755103647268610e-05,8.589361522362135570e-01,-1.528858409357112924e+00,2.087367516237476384e-05,9.985983360232503214e-01,-1.795464875593881349e+00,2.087355367596554400e-05,9.985937144525796061e-01,-1.795460070988825096e+00
2.787221620830397309e-05,8.717718430924475959e-01,-1.542533244392527481e+00,2.787213564153385304e-05,8.717665761781355771e-01,-1.542526611384434476e+00,2.621390005782650210e-05,1.015543360409050022e+00,-1.815381382349511963e+00,2.621372759822379860e-05,1.015537072718119216e+00,-1.815373665839468798e+00
