t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333099999999999952e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
2.000000000000000042e-02,5.327597708264136030e-04,-7.870335449169829847e-08,3.326315957048389671e-01,1.882562949805250659e-06,-3.113544908523269410e-03,-9.642860432065571966e-08,9.999951529055275401e-01,-3.376772362659512472e-06,7.062817059705979172e-01,-1.496555865867767787e+00,-3.376728517695824228e-06,7.062829167119502038e-01,-1.496558773304942358e+00,-3.629383391279893068e-06,7.141961689965552473e-01,-1.513086017283109319e+00,-3.629396699404580547e-06,7.141972062245920405e-01,-1.513088569233700609e+00
4.000000000000000083e-02,1.474480438225404333e-03,-2.188978077664554115e-07,3.313283198505895255e-01,4.463087835615139584e-06,-8.440438702377079869e-03,-2.563926270451132215e-07,9.999643788528301824e-01,-7.841420807106792845e-06,7.175169164629801033e-01,-1.491624590559198937e+00,-7.841418465768872523e-06,7.175198553647640365e-01,-1.491631722812278849e+00,-8.561047739269920942e-06,7.390394635640794574e-01,-1.536235126816674956e+00,-8.561071966024680238e-06,7.390418515770009744e-01,-1.536241163187711534e+00
5.999999999999999778e-02,2.668883460990783673e-03,-3.975001271275873982e-07,3.295356309388706717e-01,6.555364906875491898e-06,-1.494424683433889962e-02,-4.087852288831333828e-07,9.998883284864437115e-01,-1.119259338665781906e-05,7.319165599666188626e-01,-1.486963215920166670e+00,-1.119258874869525359e-05,7.319210577638946003e-01,-1.486974163666794801e+00,-1.241704623384436244e-05,7.701546239180858677e-01,-1.565468570032165108e+00,-1.241708697881839060e-05,7.701580891818401442e-01,-1.565477518529162282e+00
8.000000000000000167e-02,3.997863978133603564e-03,-5.938851093891057854e-07,3.273686988298650236e-01,7.644538455803448531e-06,-2.185712896600420369e-02,-5.305976862856596613e-07,9.997611043917656870e-01,-1.252061254434654469e-05,7.481409636705302901e-01,-1.483791741517703322e+00,-1.252061138786464693e-05,7.481464994549421599e-01,-1.483805259084328920e+00,-1.417901367286640008e-05,8.042475417373127211e-01,-1.597781839969424800e+00,-1.417906462002297523e-05,8.042515719242986361e-01,-1.597792508567892567e+00
1.000000000000000056e-01,5.373600805226926881e-03,-7.899535680685078944e-07,3.249292264696017618e-01,7.560091652757580808e-06,-2.862396525341561956e-02,-6.266168289445697607e-07,9.995902503304159303e-01,-1.156519624378494190e-05,7.651994175170104828e-01,-1.482879471703783203e+00,-1.156518904569053832e-05,7.652052947887915124e-01,-1.482893959134369943e+00,-1.352829352929728004e-05,8.388730789718221725e-01,-1.630965032804023718e+00,-1.352834615323021313e-05,8.388770864609106370e-01,-1.630976053218570865e+00
1.200000000000000094e-01,6.732646412114572619e-03,-9.717228340019409549e-07,3.223070843303110777e-01,6.305819491412777282e-06,-3.486575259564122370e-02,-7.137797287474965132e-07,9.993920047987510102e-01,-8.380356145730112648e-06,7.823724208491571463e-01,-1.484613158473972128e+00,-8.380336673490114849e-06,7.823778753281773746e-01,-1.484626940345669555e+00,-1.049971146227471809e-05,8.722857056884137927e-01,-1.663463437437552983e+00,-1.049975589162563634e-05,8.722890990260525612e-01,-1.663473474698551335e+00
1.400000000000000133e-01,8.034766392004578581e-03,-1.128680441279800795e-06,3.195751547110777802e-01,4.067795878121562693e-06,-4.036567581408553873e-02,-8.095171230849543389e-07,9.991849739657167051e-01,-3.358758294723784617e-06,7.991890055132236936e-01,-1.489058555687078345e+00,-3.358727358003715991e-06,7.991933383288657433e-01,-1.489070169506246044e+00,-5.501753542149633266e-06,9.034035140461308400e-01,-1.694325035080537667e+00,-5.501788191490805231e-06,9.034057774944943553e-01,-1.694332980868770600e+00
1.600000000000000033e-01,9.258394171322150562e-03,-1.253357999760371036e-06,3.167904373204540325e-01,1.151989816797682321e-06,-4.503383622163997790e-02,-9.234910017869705798e-07,9.989854621529697942e-01,2.882590511258045762e-06,8.153676274708286931e-01,-1.496043497396188027e+00,2.882624108308222941e-06,8.153703072569231658e-01,-1.496051884924897379e+00,8.114155193740525489e-07,9.316736924911233064e-01,-1.723056456510383860e+00,8.113825003520948868e-07,9.316744432281198751e-01,-1.723061541384332873e+00
1.799999999999999933e-01,1.039471366400021579e-02,-1.341264284526049398e-06,3.139967307972706401e-01,-2.104898227243862886e-06,-4.886483263587711873e-02,-1.056318205656712928e-06,9.988054005290125659e-01,9.673901970254929794e-06,8.307538156017579833e-01,-1.505255188399138744e+00,9.673924409780976829e-06,8.307545203080760610e-01,-1.505259752686382457e+00,7.725195122367802084e-06,9.569061176329710650e-01,-1.749467160895687989e+00,7.725148500125180581e-06,9.569051241927271079e-01,-1.749468969257901296e+00
