FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
-3.331417523575781400e-03,8.348728889994153635e-01,-1.760804920515320671e+00,-3.333313204952094433e-03,8.356564023980574962e-01,-1.762463918449033828e+00,-3.332781523714364348e-03,8.415606243187266911e-01,-1.775026934945723500e+00,-3.334695588740393176e-03,8.423377264193681047e-01,-1.776674681232523589e+00
-4.872011882859961229e-03,8.416671451427986117e-01,-1.754295058228331428e+00,-4.876006412797342753e-03,8.428778235516406481e-01,-1.756559669911746280e+00,-4.701273020175865056e-03,8.527994117433694843e-01,-1.777723732993706562e+00,-4.705082859204910532e-03,8.540937421894866377e-01,-1.780163764579629770e+00
-4.331544123214367201e-03,8.410884508883614830e-01,-1.721067512355875628e+00,-4.334462619471589340e-03,8.422578205960747910e-01,-1.722743089157469543e+00,-3.854509235655354926e-03,8.612796161161467845e-01,-1.762877091135401697e+00,-3.856961175584056739e-03,8.627125730691035388e-01,-1.765077940815664048e+00
-2.160541716355263066e-03,8.368774823942046748e-01,-1.676346668606117252e+00,-2.160740360046024648e-03,8.375619877771556254e-01,-1.676426465800529675e+00,-1.274821356477595039e-03,8.686296594617594069e-01,-1.740981432342733948e+00,-1.274749298686759071e-03,8.698562827691749266e-01,-1.742098253154473309e+00
8.396486903011798463e-04,8.300599351062454279e-01,-1.627497549969810997e+00,8.406882964417604874e-04,8.299612438705540329e-01,-1.625363130162717828e+00,2.208001758898334166e-03,8.739198625599071679e-01,-1.715416618110885860e+00,2.208065791769332764e-03,8.747385504605581508e-01,-1.714988037727670944e+00
3.887607163273067330e-03,8.211612341377449997e-01,-1.578204753064936350e+00,3.887332545609289806e-03,8.201758656140032411e-01,-1.573655431249977088e+00,5.791220882141416906e-03,8.763976926846445137e-01,-1.687523648063550930e+00,5.787495945986089949e-03,8.767873832164025938e-01,-1.685486062488894987e+00
6.455188674673337755e-03,8.106026437338013091e-01,-1.530576734133675343e+00,6.452265742055407136e-03,8.087919898027764454e-01,-1.523724682848595080e+00,8.933369468916993808e-03,8.756070080962627955e-01,-1.657946031679618848e+00,8.923601168100606107e-03,8.756917932010465089e-01,-1.654518719913629532e+00
8.314728690252955884e-03,7.988406745803128262e-01,-1.485920029031328582e+00,8.309649779602218400e-03,7.963611455755930102e-01,-1.477041529193952041e+00,1.139745647248528379e-02,8.714801012343486031e-01,-1.627192480449799472e+00,1.138175040224006021e-02,8.714587130429676254e-01,-1.622725973607368033e+00
9.448304283164340317e-03,7.863692772397374853e-01,-1.445046795013227081e+00,9.442805277600638952e-03,7.834110581760262981e-01,-1.434463293735251055e+00,1.316232244200129381e-02,8.642938838206760677e-01,-1.595802344722123012e+00,1.314248819178018626e-02,8.643839861819856418e-01,-1.590668947506981068e+00
9.952757598274778253e-03,7.736805452027272212e-01,-1.408421609824725307e+00,9.948996699626486834e-03,7.704247707545415214e-01,-1.396428380869864538e+00,1.432161147459582069e-02,8.545642616821446103e-01,-1.564356150163632053e+00,1.430014287382581385e-02,8.549629729251528865e-01,-1.558885096826425842e+00
9.954841539114429178e-03,7.612248042504394796e-01,-1.376236756136716366e+00,9.954880288784192024e-03,7.578251466745287157e-01,-1.363077461170435045e+00,1.499801522261090883e-02,8.429424556848084116e-01,-1.533443357748286884e+00,1.497740013871370381e-02,8.438105717551313001e-01,-1.527900227912703857e+00
9.557824200623881578e-03,7.493843673364222191e-01,-1.348461260501828463e+00,9.563461423354213328e-03,7.459675576299507060e-01,-1.334333928360513788e+00,1.529094025059737905e-02,8.301348196667693857e-01,-1.503629998578663418e+00,1.527341017532874920e-02,8.315999580345871944e-01,-1.498226402919947464e+00
8.817871095078273075e-03,7.384597117220222939e-01,-1.324888539449307068e+00,8.830651791823997121e-03,7.351355849722858160e-01,-1.309971745541045562e+00,1.524938200718203157e-02,8.168383676441179908e-01,-1.475429461585512136e+00,1.523693753897271269e-02,8.190039458001080463e-01,-1.470345567131567943e+00
7.738685930263963439e-03,7.286667085500644347e-01,-1.305184243895314289e+00,7.759939733998037249e-03,7.255424094539170143e-01,-1.289669332877941610e+00,1.486684868664983963e-02,8.036941150261800448e-01,-1.449280978401003450e+00,1.486137436588042676e-02,8.066519383725370140e-01,-1.444692684353793943e+00
6.280221024633509536e-03,7.201422732357457557e-01,-1.288939681203326915e+00,6.311035138014098843e-03,7.173354802564144705e-01,-1.273056943723621215e+00,1.409262285536823367e-02,7.912526210113337566e-01,-1.425534807746864141e+00,1.409594978703486087e-02,7.950962094815330339e-01,-1.421638091872401422e+00
4.380660438745340168e-03,7.129593787746484335e-01,-1.275720101644373328e+00,4.421679327829047303e-03,7.106035897608719010e-01,-1.259756629728169708e+00,1.284838394809181480e-02,7.799630131188366455e-01,-1.404453261492710547e+00,1.286217197817174709e-02,7.847887620833192690e-01,-1.401473238811818067e+00
1.974438933098334945e-03,7.071418765191986866e-01,-1.265112327929933445e+00,2.025544524889184850e-03,7.053860057195198152e-01,-1.249415122151366520e+00,1.104883973028723300e-02,7.701637119398653253e-01,-1.386211846692036564e+00,1.107428153619585687e-02,7.760682972152710413e-01,-1.384401112795696553e+00
-9.880965683847151015e-04,7.026833529231210074e-01,-1.256757162376271220e+00,-9.281903563354270553e-04,7.016844206063892475e-01,-1.241721345417803102e+00,8.622411879065722956e-03,7.620945703939850935e-01,-1.370916155510703671e+00,8.659771271911987853e-03,7.691661795001639712e-01,-1.370540156811121957e+00
-4.529605410506556615e-03,6.995645246824214736e-01,-1.250374592398151297e+00,-4.463782577457039991e-03,6.994757357344659754e-01,-1.236425754268255739e+00,5.519867837266864696e-03,7.559127750460842288e-01,-1.358621109267755367e+00,5.567921891849542115e-03,7.642153424670697914e-01,-1.359933892337682693e+00
-8.633048485167129499e-03,6.977693292384229418e-01,-1.245774764810660740e+00,-8.566111732090271602e-03,6.987233189773562891e-01,-1.233340714293706952e+00,1.727954964313351688e-03,7.517181224919072813e-01,-1.349356847431080197e+00,1.783447178903602506e-03,7.612713874376264567e-01,-1.352567834021122684e+00
-1.323758142395756350e-02,6.972995414890901245e-01,-1.242865388702069085e+00,-1.317631836301417537e-02,6.993901656601673178e-01,-1.232342349686747385e+00,-2.724442864490020030e-03,7.495787465512120384e-01,-1.343155531072296904e+00,-2.667164129151250104e-03,7.603384970574519341e-01,-1.348394106202865261e+00
-1.823288205581617694e-02,6.981846342697631824e-01,-1.241654337581746814e+00,-1.818574302871745971e-02,7.014465783645601471e-01,-1.233366838101505047e+00,-7.758919020725658575e-03,7.495505741820563950e-01,-1.340071231175644417e+00,-7.707913557026891890e-03,7.613884685719417567e-01,-1.347348705183207374e+00
-2.345464802483271730e-02,7.004902588144389375e-01,-1.242241561019883367e+00,-2.343095633760210877e-02,7.048761751074719140e-01,-1.236401485118151067e+00,-1.324561184994793757e-02,7.517014147469317509e-01,-1.340200748691387611e+00,-1.321087745754736913e-02,7.643809124531212307e-01,-1.349369313068912168e+00
-2.869921432670300560e-02,7.043182576413838936e-01,-1.244810569891318330e+00,-2.870792017436249455e-02,7.096818800186087683e-01,-1.241483432772382489e+00,-1.901453672633107023e-02,7.561165034705261689e-01,-1.343685493186416391e+00,-1.900694741424230338e-02,7.692779640960428766e-01,-1.354410648600310019e+00
-3.371684191730381364e-02,7.098062216962435222e-01,-1.249623999916170902e+00,-3.376477991725287259e-02,7.158839166621836503e-01,-1.248687987563348534e+00,-2.484530287159482376e-02,7.629001300561837340e-01,-1.350710950829365764e+00,-2.487486331049814509e-02,7.760483800057531578e-01,-1.362444692571590732e+00
-3.821675945597322044e-02,7.171237149692805124e-01,-1.257003025259742168e+00,-3.830668060925140894e-02,7.235180550636607366e-01,-1.258119678182475942e+00,-3.047743166394096398e-02,7.721807899083463766e-01,-1.361502487012665075e+00,-3.055099797286876112e-02,7.846711460597367571e-01,-1.373462226015065957e+00
-4.188225746868108612e-02,7.264591331627240356e-01,-1.267315943507173914e+00,-4.201091192255236584e-02,7.326302025961295428e-01,-1.269909789184815230e+00,-3.562070298936532986e-02,7.840889623889235605e-01,-1.376296992930213126e+00,-3.573930094546830943e-02,7.951251950443596339e-01,-1.387461779387423766e+00
-4.436481206620954826e-02,7.380105460760225666e-01,-1.280960644574142826e+00,-4.452128352899262925e-02,7.432671510945395577e-01,-1.284198905429309479e+00,-3.994859291542737778e-02,7.987489471641854299e-01,-1.395327288219802453e+00,-4.010446497204744887e-02,8.073820041778470014e-01,-1.404436247794118353e+00
-4.531569525635958939e-02,7.519665444444663116e-01,-1.298340072545433266e+00,-4.548084866452244135e-02,7.554709317982641892e-01,-1.301140690127964517e+00,-4.313114172344055530e-02,8.162533089512391538e-01,-1.418786198995321213e+00,-4.330525869023926777e-02,8.213912870205645200e-01,-1.424361400006938894e+00
-4.438877264184361293e-02,7.684904561361802777e-01,-1.319845450022873790e+00,-4.453594342397863143e-02,7.692673158483530615e-01,-1.320885366584686693e+00,-4.483069813520183799e-02,8.366416753928052064e-01,-1.446801367715602860e+00,-4.499085633586306920e-02,8.370683850770470613e-01,-1.447178336829966883e+00
-4.126015395937092378e-02,7.877037021053139298e-01,-1.345826878717037101e+00,-4.135779293929828238e-02,7.846559068115093183e-01,-1.343578206369664407e+00,-4.473188146809445320e-02,8.598866567365568425e-01,-1.479412705881232970e+00,-4.483215646521018088e-02,8.542759689121328659e-01,-1.472778356679433465e+00
-3.565528789043764801e-02,8.096676165599875352e-01,-1.376575388673425770e+00,-3.567179310945611109e-02,8.016029371581857577e-01,-1.369351515419428233e+00,-4.255973439752487597e-02,8.858705796093387930e-01,-1.516549357701126644e+00,-4.254160719338232616e-02,8.728159340955550238e-01,-1.500995080952676419e+00
-2.737186695202851322e-02,8.343700068178252494e-01,-1.412295889783149239e+00,-2.728255429061310702e-02,8.200349568139650991e-01,-1.398306813195116405e+00,-3.809887936227128458e-02,9.143799046632791194e-01,-1.558022390342745256e+00,-3.789430748844608426e-02,8.924309920341085833e-01,-1.531602817291591201e+00
-1.628360556153947078e-02,8.617165490069482736e-01,-1.453099387097099404e+00,-1.607923310976945575e-02,8.398272074962257472e-01,-1.430504501635723402e+00,-3.119909586577977387e-02,9.450956097404383804e-01,-1.603521834240313026e+00,-3.073521084877788717e-02,9.127889891324789673e-01,-1.564300995266195482e+00
-2.353861596676148221e-03,8.915237823975610265e-01,-1.498991191791559485e+00,-2.050093654256499032e-03,8.607958742918265793e-01,-1.465947360837899671e+00,-2.178644353036990680e-02,9.775897458587781141e-01,-1.652619590347373935e+00,-2.099162725699091347e-02,9.334805984212838359e-01,-1.598709154473011873e+00
1.435335414993856550e-02,9.235131968413907710e-01,-1.549864900435466986e+00,1.470662291253203510e-02,8.826915231946069751e-01,-1.504552549406595885e+00,-9.858230778062328920e-03,1.011319414759223045e+00,-1.704772863493160040e+00,-8.669352242345773618e-03,9.540269774027431149e-01,-1.634364030739516860e+00
3.369222279461058650e-02,9.573144733838101494e-01,-1.605498080166696484e+00,3.400303644182422341e-02,9.051842046998336277e-01,-1.546132401689921609e+00,4.520642102938961238e-03,1.045635719792333607e+00,-1.759338915175366447e+00,6.151492291423421577e-03,9.738637784291060973e-01,-1.670698651415255753e+00
5.544903660713058902e-02,9.924587929609197667e-01,-1.665559495734993289e+00,5.557778301635759449e-02,9.278537929722309174e-01,-1.590340469425777448e+00,2.127626009984839861e-02,1.079766173047756572e+00,-1.815573409733291621e+00,2.337351737718534189e-02,9.923603141665578997e-01,-1.707033137705618486e+00
7.938349438591874030e-02,1.028375585378368484e+00,-1.729605903813992818e+00,7.914030741297364835e-02,9.501665843472520967e-01,-1.636636186660951120e+00,4.036323548827719376e-02,1.112809416374365368e+00,-1.872631182145305662e+00,4.291858270189974345e-02,1.008797448029053800e+00,-1.742535706208506951e+00
1.052764912235369110e-01,1.064382645853690468e+00,-1.797059072117090262e+00,1.044217116654031080e-01,9.714538259996723379e-01,-1.684204648598072840e+00,6.183973044703963001e-02,1.143735660042074276e+00,-1.929562159541017730e+00,6.479815085533102703e-02,1.022380123328271884e+00,-1.776190702879492767e+00
1.329612718016314199e-01,1.099657291644862145e+00,-1.867164986799075388e+00,1.312104717355084826e-01,9.908794888300487269e-01,-1.731879127430699494e+00,8.591497007843082456e-02,1.171367194202799666e+00,-1.985276752081176932e+00,8.915361744618904849e-02,1.032223200921778217e+00,-1.806739292869408597e+00
1.623440648908316408e-01,1.133183939861085010e+00,-1.938909989083321461e+00,1.593814558093676892e-01,1.007395960878181951e+00,-1.778020631790149020e+00,1.129889158032666707e-01,1.194357310242703418e+00,-2.038483862542302294e+00,1.162860114582637272e-01,1.037335560719050864e+00,-1.832593996405457615e+00
1.933336219521941679e-01,1.163669257373408872e+00,-2.010836920466291922e+00,1.888477301294288202e-01,1.019695932940505978e+00,-1.820331605106104922e+00,1.435872794524071794e-01,1.211196333465978547e+00,-2.087587935859242627e+00,1.465868034726304503e-01,1.036624742492570750e+00,-1.851733355345894561e+00
2.256193201404623483e-01,1.189386911299401106e+00,-2.080718343634970768e+00,2.193944873109214544e-01,1.026130628077805529e+00,-1.855558641227930128e+00,1.781330225474918316e-01,1.220202726468633259e+00,-2.130479161872822935e+00,1.803285216453507644e-01,1.028875811162797804e+00,-1.861512319588043640e+00
2.579158339875454731e-01,1.207898459345830178e+00,-2.144889871143896176e+00,2.500776542809883818e-01,1.024588750761848521e+00,-1.878988164433536001e+00,2.161581111854225246e-01,1.219498761859172831e+00,-2.164100196774866980e+00,2.169837333439356419e-01,1.012731395861427686e+00,-1.858366637895681128e+00
2.856844732554889021e-01,1.215580321265036901e+00,-2.196707196312453370e+00,2.773724645435907132e-01,1.012363127448422828e+00,-1.883395083578000229e+00,2.540344107730470591e-01,1.207038465866421939e+00,-2.183532773616997158e+00,2.533149704286398185e-01,9.868981614669836144e-01,-1.837463332049453335e+00
2.997017643198041092e-01,1.206967382215583307e+00,-2.223911140306354728e+00,2.941050078409983559e-01,9.852851370130820685e-01,-1.856554176710344395e+00,2.832642856668868836e-01,1.180432983423731486e+00,-2.180293102667168803e+00,2.821065063555028285e-01,9.496288325659436591e-01,-1.791036813985208198e+00
2.898763795103159180e-01,1.173291471746860104e+00,-2.204630614557189450e+00,2.920574942720552403e-01,9.347673623975628621e-01,-1.776819555884465940e+00,2.926177767560829146e-01,1.134804013489549623e+00,-2.138259797584498134e+00,2.939528591261313939e-01,8.949449714983416238e-01,-1.702576696018903935e+00
2.579421396985380199e-01,1.102637345486967124e+00,-2.106608521093645603e+00,2.707185845602608776e-01,8.446316040201444775e-01,-1.610218163838684768e+00,2.781794636296111567e-01,1.059600236107766547e+00,-2.028770905942905767e+00,2.849679426136289551e-01,8.060039656795493501e-01,-1.537265582118974017e+00
-1.654290035991499430e-01,9.313776448038827427e-01,-2.420519209306356334e+00,6.307932084945243323e-02,1.074950939704383712e+00,-1.923995696486153539e+00,-3.237892635926086227e-01,1.412412939969748926e+00,-2.342666445381304641e+00,6.477011596768990354e-02,1.073003869288203571e+00,-1.851047428770388859e+00
-6.292239077868130859e-02,1.127149499376566277e+00,-2.353376019440740485e+00,3.397111305378536228e-02,1.231144044591839570e+00,-2.208381825792655739e+00,-1.027830637861085333e-01,1.273608963008341588e+00,-2.341755342968974585e+00,2.912310281179383495e-02,1.224795142839235407e+00,-2.161812272156887982e+00
1.183173190921688739e-02,1.250805071291981596e+00,-2.267052102791974111e+00,2.185925789502380593e-03,1.248005407290646795e+00,-2.300616126609895673e+00,4.457874341183038630e-02,1.174898631240588465e+00,-2.288046806160624058e+00,4.105345256759845851e-03,1.237941221318847873e+00,-2.279251712004505048e+00
1.581985562062595066e-02,1.244104140751965959e+00,-2.256299137750865214e+00,-3.450011673015005928e-03,1.214149405551531613e+00,-2.288858716940589400e+00,3.441817734336420631e-02,1.184818644158852186e+00,-2.266535936037928245e+00,5.315133021394349497e-03,1.209073579033354884e+00,-2.276875977812844010e+00
-2.670945851907202857e-03,1.203894925768734803e+00,-2.287272337563448943e+00,4.715943606538217439e-03,1.199706422271154205e+00,-2.269765451988806859e+00,-1.088376002557320775e-02,1.227546435731871721e+00,-2.277000275398442408e+00,1.542645860492956010e-02,1.201112477354481012e+00,-2.261749444514285834e+00
-1.166535711400313452e-02,1.195720717351775209e+00,-2.307314376472543227e+00,4.995058923024073977e-03,1.212649042527330634e+00,-2.274396038447715984e+00,-2.750624632597526570e-02,1.246097982829894368e+00,-2.290971369466493268e+00,1.431949349557959036e-02,1.215651873064421240e+00,-2.271201693405765720e+00
-1.012815705073382040e-02,1.214232646315352770e+00,-2.297575137488423014e+00,-4.395609024159157288e-03,1.230785809243124085e+00,-2.288801864450825452e+00,-1.897005717497242394e-02,1.233902460870985651e+00,-2.290109251975918969e+00,3.432051089018447760e-03,1.231940011563856352e+00,-2.291815567757448324e+00
-7.070268287299671245e-03,1.229983274838158946e+00,-2.270773254920458673e+00,-1.304019061937031210e-02,1.236323879298435680e+00,-2.292765211210063381e+00,-4.878263300734885649e-03,1.212221749975359586e+00,-2.276412178117220186e+00,-5.553052016795632755e-03,1.237482858463311741e+00,-2.301957335103268942e+00
-6.140119728638924676e-03,1.228605922134116790e+00,-2.248829856543520300e+00,-1.399064536172572003e-02,1.227892196761974253e+00,-2.280637332771031200e+00,5.368172550669824024e-03,1.201220635229718559e+00,-2.263073987912664897e+00,-6.306655675451565760e-03,1.232684612049260942e+00,-2.294615947254864619e+00
-5.402486660812012495e-03,1.216874352926961445e+00,-2.245339692342630755e+00,-9.812500738915177351e-03,1.215281447569384499e+00,-2.261553092535563358e+00,1.181934726114393722e-02,1.206515146904913793e+00,-2.261503919750224245e+00,-2.097303654456981678e-03,1.224102228706112516e+00,-2.278252267568262823e+00
