t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.333099999999999952e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
2.000000000000000042e-02,1.614075886877620143e-03,2.696814141218190463e-05,3.343084471291651316e-01,1.150728362876906642e-03,-3.250144886276007828e-03,4.529785907198259452e-05,9.999940551476078632e-01,-2.463833133959963690e-03,8.352939906504441847e-01,-1.760693982771778243e+00,-2.464857279683487293e-03,8.359103148271914696e-01,-1.761813484385026163e+00,-2.345630438005542016e-03,8.424328859445275874e-01,-1.775871263740315120e+00,-2.346578903898652313e-03,8.431103952801782819e-01,-1.777120338092308405e+00
4.000000000000000083e-02,3.235177528900647775e-03,4.943406601798998562e-05,3.391492556883696774e-01,1.981806709547958168e-03,-5.273717828620398673e-03,1.645088577476413918e-04,9.999841165134902843e-01,-4.375155429486148398e-03,8.420366618944612469e-01,-1.754045212417095101e+00,-4.378287139335986129e-03,8.432151775906354674e-01,-1.755834097742642763e+00,-3.937017406385621456e-03,8.536871519361283189e-01,-1.778559241518602008e+00,-3.939655102181963651e-03,8.551021683364038450e-01,-1.780835962016350971e+00
5.999999999999999778e-02,5.366522154901659514e-03,6.519062764501174661e-05,3.449220508205141922e-01,2.140462667198008307e-03,-9.371760559828117704e-03,3.474650145288602464e-04,9.999537328254959334e-01,-4.987922403052529388e-03,8.415404117352658364e-01,-1.720022827651666475e+00,-4.991604240018074172e-03,8.430218192676742772e-01,-1.721681640526387946e+00,-4.071175051778958519e-03,8.627730459752055436e-01,-1.763967723986704206e+00,-4.073766199888316335e-03,8.647763547089037939e-01,-1.766661328602961101e+00
8.000000000000000167e-02,7.716430960657926288e-03,7.528122458539815702e-05,3.511333730933300923e-01,1.646558568054743441e-03,-1.434562395425037148e-02,5.739132351591969168e-04,9.998955758187170195e-01,-4.317581090951599573e-03,8.374006450102976506e-01,-1.674206913240410044e+00,-4.319472970220299482e-03,8.388593598547335883e-01,-1.674931994086101383e+00,-2.806812215888666862e-03,8.709325310369131490e-01,-1.742409601746348180e+00,-2.807362234354525681e-03,8.733107532516372062e-01,-1.744884784314425730e+00
1.000000000000000056e-01,1.009534275390546430e-02,8.329380651509826717e-05,3.574796964024341550e-01,7.457694892937847099e-04,-1.934102863850689982e-02,8.250574663539276144e-04,9.998123262489068130e-01,-2.845734460556629229e-03,8.307055707765400587e-01,-1.623995570463538041e+00,-2.844817078100344253e-03,8.318805111233945615e-01,-1.623220277702222436e+00,-6.647885508825921797e-04,8.773674324920002210e-01,-1.717419196944984794e+00,-6.630807863570211931e-04,8.799630702876690691e-01,-1.719258872519233705e+00
1.200000000000000094e-01,1.239270758697857272e-02,9.324994925607050502e-05,3.637573136345564895e-01,-2.507272108788703691e-04,-2.384292102550037915e-02,1.090255528461838569e-03,9.997150912113511589e-01,-1.191566094419669588e-03,8.219599489557208871e-01,-1.573185928979074388e+00,-1.188097414767407423e-03,8.227316617273147115e-01,-1.570682513120488899e+00,1.700331321153292132e-03,8.812370795550568126e-01,-1.690312329378818257e+00,1.703179451092990630e-03,8.840104759266620427e-01,-1.691405096618665116e+00
1.400000000000000133e-01,1.454743720067655510e-02,1.084062853361258938e-04,3.698234565739118573e-01,-1.086786701687965720e-03,-2.756219328503707600e-02,1.365967556547832825e-03,9.996185665185585156e-01,1.330178251152758315e-04,8.115701772346589626e-01,-1.523940383860416414e+00,1.386339180831114726e-04,8.119681737184110126e-01,-1.519792493074364259e+00,3.746823008922548284e-03,8.820191077598216189e-01,-1.661696650052148394e+00,3.749959413689450509e-03,8.850464902257956235e-01,-1.662195607828935495e+00
1.600000000000000033e-01,1.653103224037512364e-02,1.307710204339039301e-04,3.755764314736561027e-01,-1.616025424083139582e-03,-3.037363593221599142e-02,1.651505526649032921e-03,9.995359439417781378e-01,8.348529281907363705e-04,7.999788752343806042e-01,-1.477582159180178101e+00,8.427350161143082937e-04,8.001397609497618024e-01,-1.472081582856575199e+00,5.159322744660825230e-03,8.795940042108743029e-01,-1.632040693687285771e+00,5.163050820901318033e-03,8.830253353884075507e-01,-1.632257938238800499e+00
1.799999999999999933e-01,1.833622414739823764e-02,1.615738742568634159e-04,3.809447572280305616e-01,-1.786333077100433434e-03,-3.226680184421022030e-02,1.944570177873701294e-03,9.994758031887052141e-01,8.098177927923174736e-04,7.876645462714904067e-01,-1.434934848276248953e+00,8.204791465357427847e-04,7.877805913471612742e-01,-1.428480265075671607e+00,5.816017772264018074e-03,8.741833880558663727e-01,-1.601835825268233204e+00,5.821598996861007680e-03,8.781942314319268750e-01,-1.602144692898080702e+00
1.999999999999999833e-01,1.996912273813485766e-02,2.014896298296211369e-04,3.858806872880481409e-01,-1.605298639702187934e-03,-3.330810358260535842e-02,2.238800695771582701e-03,9.994413344581323244e-01,7.569093068643395483e-05,7.751054153939650471e-01,-1.396474797613795671e+00,8.955904439639922332e-05,7.753832463078277337e-01,-1.389501684665339631e+00,5.717265416406451875e-03,8.662498439599292110e-01,-1.571613422361276324e+00,5.726216061740020333e-03,8.710032286260424028e-01,-1.572382231235380123e+00
2.199999999999999734e-01,2.144395729449521948e-02,2.511332292267519015e-04,3.903555937435547185e-01,-1.106773817220797892e-03,-3.361377222013212096e-02,2.526072373017301809e-03,9.994310923356432008e-01,-1.297532583149817609e-03,7.627437812693811381e-01,-1.362407489522727166e+00,-1.280527897426557166e-03,7.633812345903495666e-01,-1.355347904595475494e+00,4.919278776791077661e-03,8.564034636910219378e-01,-1.541922980282200095e+00,4.932726527222737814e-03,8.620335134587410186e-01,-1.543484752414537864e+00
2.399999999999999634e-01,2.277920702321386062e-02,3.112657696307282026e-04,3.943564206894538127e-01,-3.326145771713185620e-04,-3.332697991627660283e-02,2.796014924377826765e-03,9.994405355386311030e-01,-3.222761630137259414e-03,7.509614845835024255e-01,-1.332724542731371420e+00,-3.203443467207018995e-03,7.521341707239015406e-01,-1.325988909005022087e+00,3.494457233170886537e-03,8.453209815981808095e-01,-1.513302169508248918e+00,3.512708159863689797e-03,8.519228793083011286e-01,-1.515940247169060617e+00
2.599999999999999534e-01,2.399515031226848172e-02,3.828878985210115498e-04,3.978826265900474723e-01,6.877851191209427128e-04,-3.260070867158888774e-02,3.035974992016548645e-03,9.994636079425743835e-01,-5.635578949790248648e-03,7.400640988401884224e-01,-1.307243831193369621e+00,-5.615682706747268660e-03,7.419265339532985504e-01,-1.301232464713637071e+00,1.487836297358866890e-03,8.336818719235324915e-01,-1.486245136347019269e+00,1.510136432045851816e-03,8.413119166078575351e-01,-1.490200280403069177e+00
2.799999999999999711e-01,2.511180778654599835e-02,4.673714772775911549e-04,4.009434044392705676e-01,1.938343118386679073e-03,-3.158543768017516018e-02,3.232435204057404737e-03,9.994939491138297161e-01,-8.497368888368977274e-03,7.302783577376485979e-01,-1.285657599399187889e+00,-8.479669005067143328e-03,7.329678829848327304e-01,-1.280773120111755814e+00,-1.084217285588180875e-03,8.221235153787851413e-01,-1.461185486892558894e+00,-1.059866965664538370e-03,8.308024339704078720e-01,-1.466664767588678586e+00
