FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
4.754828180872795046e-05,7.170218769215334076e-01,-1.501650415686171858e+00,4.847056834394515047e-05,7.175630520729531225e-01,-1.500401470316765185e+00,1.619862280307758032e-03,7.290186426223470573e-01,-1.526568050100401752e+00,1.620574577442207608e-03,7.305695969402949963e-01,-1.527375094361848040e+00
-4.020208646440989221e-03,7.245663227293110964e-01,-1.508005051242019778e+00,-4.014802679344976581e-03,7.274939190278341128e-01,-1.507100516814210645e+00,5.948083893187561082e-04,7.343634511753396321e-01,-1.528283703705340502e+00,6.044836779217641412e-04,7.402415930456809345e-01,-1.533366196909064394e+00
2.325823179507824270e-03,7.035596937670903772e-01,-1.510971008062228282e+00,2.348265562331394544e-03,7.017226009970219947e-01,-1.517710588318800013e+00,-4.473224561809638344e-03,6.829757346671686546e-01,-1.468192255025629223e+00,-4.460370525877125659e-03,6.770169271600869898e-01,-1.466018073668841737e+00
-1.026039701765297206e-02,8.069952407173336395e-02,-1.811695199066169826e+00,-3.627684355317734380e-03,6.733991413380269186e-01,-1.465702536713480386e+00,-3.098482555005214155e-03,6.385983535561783331e-01,-1.393961064388566928e+00,-8.475556525716868017e-03,1.504526261049216940e+00,-1.558432570062598499e+00
-1.034645377659980554e-02,-1.190982884523208024e-01,-1.895786095420869843e+00,-2.391558106956328568e-03,6.521764155855795941e-01,-1.456020275243960604e+00,-8.145877164713944893e-03,6.081970535083608409e-01,-1.354878646692466937e+00,-1.025848733819939573e-02,1.780837454131192876e+00,-1.354128224190436214e+00
-1.103683127926891397e-02,-2.295435160199132685e-01,-1.899602282452796276e+00,-6.267740025066640547e-03,6.380837247009975011e-01,-1.467358964974149860e+00,-7.780568789856705941e-03,5.760351212599796877e-01,-1.333009891327990637e+00,-9.434194781191855908e-03,1.964368775466696304e+00,-1.301282688105302787e+00
-1.008119969566705770e-02,-3.731981443599432374e-02,-1.867056883758503094e+00,-2.683762785435490558e-02,6.129481575979416341e-01,-1.493671609277626988e+00,4.448234235526376742e-03,4.757081152424276205e-01,-1.245596268796010486e+00,-5.757406638420057773e-03,1.555034281526272544e+00,-1.227891212172169455e+00
5.160878519945196960e-03,9.135964029760742511e-01,-1.430544713825106617e+00,-8.965999928986889689e-03,-4.970718987262981448e-02,-1.815868193584717627e+00,-1.158513701794496205e-02,1.282435972843235072e+00,-1.629784205604082770e+00,-2.782391652711984492e-02,2.827714252041729770e-01,-1.112877051649882709e+00
-7.112066798210281079e-03,9.395398682965281356e-01,-1.457297871944320367e+00,-1.193487083768444111e-02,-2.488076034868281217e-01,-1.890101937918591490e+00,-9.133606041631256445e-03,1.836715078732319428e+00,-1.348470412699664500e+00,-1.358420272807825055e-02,3.852609836546355693e-01,-1.252777412461733020e+00
-2.316739611455271436e-02,9.415276103402627772e-01,-1.447429756296823911e+00,-8.165530687384415717e-03,-3.102449823092147119e-01,-1.895080739446685536e+00,-9.325379390880857156e-03,2.003460611130098545e+00,-1.126332101787153928e+00,-1.162996780452482150e-02,4.493757004407138433e-01,-1.335187176458106029e+00
