t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,2.182846778420310420e-03,-4.892717215292126642e-05,3.093628554754547788e-01,-3.597089621792885880e-04,-4.909822565453945270e-03,6.266422816094792880e-04,9.999876857098236593e-01,4.754828180872795046e-05,7.170218769215334076e-01,-1.501650415686171858e+00,4.847056834394515047e-05,7.175630520729531225e-01,-1.500401470316765185e+00,1.619862280307758032e-03,7.290186426223470573e-01,-1.526568050100401752e+00,1.620574577442207608e-03,7.305695969402949963e-01,-1.527375094361848040e+00
1.000000000000000056e-01,4.226861784692490832e-03,-1.594485830987674537e-04,3.086841930449342741e-01,1.059477897080592394e-03,-4.413698182997595997e-03,1.845763552226983590e-03,9.999879948938609209e-01,-4.020208646440989221e-03,7.245663227293110964e-01,-1.508005051242019778e+00,-4.014802679344976581e-03,7.274939190278341128e-01,-1.507100516814210645e+00,5.948083893187561082e-04,7.343634511753396321e-01,-1.528283703705340502e+00,6.044836779217641412e-04,7.402415930456809345e-01,-1.533366196909064394e+00
1.500000000000000222e-01,4.194547217775045252e-03,-2.519324889162387793e-04,3.128117833967872241e-01,1.077979433199064471e-03,8.829422739882592658e-03,-2.749004035665975152e-03,9.999566601764467988e-01,2.325823179507824270e-03,7.035596937670903772e-01,-1.510971008062228282e+00,2.348265562331394544e-03,7.017226009970219947e-01,-1.517710588318800013e+00,-4.473224561809638344e-03,6.829757346671686546e-01,-1.468192255025629223e+00,-4.460370525877125659e-03,6.770169271600869898e-01,-1.466018073668841737e+00
2.000000000000000111e-01,2.721988683503652386e-03,-2.710551263840143589e-03,3.213476852066239897e-01,5.885092509082368896e-03,9.463316330497774376e-03,2.558550629860722862e-04,9.999378710041815221e-01,-1.026039701765297206e-02,8.069952407173336395e-02,-1.811695199066169826e+00,-3.627684355317734380e-03,6.733991413380269186e-01,-1.465702536713480386e+00,-3.098482555005214155e-03,6.385983535561783331e-01,-1.393961064388566928e+00,-8.475556525716868017e-03,1.504526261049216940e+00,-1.558432570062598499e+00
2.500000000000000000e-01,5.392800201724182608e-04,-3.801062059486558491e-03,3.248706997550243059e-01,8.655914926884234958e-03,1.308202047871545419e-02,-2.338972445194159675e-03,9.998742246327153582e-01,-1.034645377659980554e-02,-1.190982884523208024e-01,-1.895786095420869843e+00,-2.391558106956328568e-03,6.521764155855795941e-01,-1.456020275243960604e+00,-8.145877164713944893e-03,6.081970535083608409e-01,-1.354878646692466937e+00,-1.025848733819939573e-02,1.780837454131192876e+00,-1.354128224190436214e+00
2.999999999999999889e-01,-3.215697313699784898e-03,-4.817468228894681952e-03,3.251060575929737850e-01,1.097442729628523780e-02,1.760171000090585136e-02,-5.265559380844516465e-04,9.997847090696109218e-01,-1.103683127926891397e-02,-2.295435160199132685e-01,-1.899602282452796276e+00,-6.267740025066640547e-03,6.380837247009975011e-01,-1.467358964974149860e+00,-7.780568789856705941e-03,5.760351212599796877e-01,-1.333009891327990637e+00,-9.434194781191855908e-03,1.964368775466696304e+00,-1.301282688105302787e+00
3.499999999999999778e-01,-6.570060754030440479e-03,-4.838142537174262674e-03,3.270070277110864732e-01,1.120452237406635403e-02,3.688918383232604042e-02,1.331610019103699437e-02,9.991678178715805991e-01,-1.008119969566705770e-02,-3.731981443599432374e-02,-1.867056883758503094e+00,-2.683762785435490558e-02,6.129481575979416341e-01,-1.493671609277626988e+00,4.448234235526376742e-03,4.757081152424276205e-01,-1.245596268796010486e+00,-5.757406638420057773e-03,1.555034281526272544e+00,-1.227891212172169455e+00
3.999999999999999667e-01,-9.084521139336514464e-03,-1.777839937109823576e-03,3.298953260169740220e-01,-1.140375126360468686e-02,5.442700809431882253e-02,2.745537867226803194e-02,9.980750760483808603e-01,5.160878519945196960e-03,9.135964029760742511e-01,-1.430544713825106617e+00,-8.965999928986889689e-03,-4.970718987262981448e-02,-1.815868193584717627e+00,-1.158513701794496205e-02,1.282435972843235072e+00,-1.629784205604082770e+00,-2.782391652711984492e-02,2.827714252041729770e-01,-1.112877051649882709e+00
4.499999999999999556e-01,-1.258680386124813588e-02,-3.098345620591693231e-03,3.222439047757574837e-01,-1.015820819361192007e-02,3.628772380920261553e-02,4.689463842618472184e-02,9.981888121963297111e-01,-7.112066798210281079e-03,9.395398682965281356e-01,-1.457297871944320367e+00,-1.193487083768444111e-02,-2.488076034868281217e-01,-1.890101937918591490e+00,-9.133606041631256445e-03,1.836715078732319428e+00,-1.348470412699664500e+00,-1.358420272807825055e-02,3.852609836546355693e-01,-1.252777412461733020e+00
4.999999999999999445e-01,-1.583878161008291791e-02,-5.534916478809383603e-03,3.193889135520382450e-01,-2.692484599320355259e-03,2.205493576844608228e-02,5.919607151465997030e-02,9.979990758774095472e-01,-2.316739611455271436e-02,9.415276103402627772e-01,-1.447429756296823911e+00,-8.165530687384415717e-03,-3.102449823092147119e-01,-1.895080739446685536e+00,-9.325379390880857156e-03,2.003460611130098545e+00,-1.126332101787153928e+00,-1.162996780452482150e-02,4.493757004407138433e-01,-1.335187176458106029e+00
5.499999999999999334e-01,-1.811223324259350620e-02,-8.852271253307604157e-03,3.228057651734400069e-01,-1.650610613934424403e-03,3.133199791296252534e-02,8.279673017635706678e-02,9.960724285228894637e-01,-3.576747568940243094e-02,9.053567309517573936e-01,-1.467583550629642630e+00,-6.888121379507346209e-03,-1.221722488278101093e-01,-1.887964685439351697e+00,-3.496017202386402477e-03,1.666217520847480316e+00,-1.122279630320564658e+00,1.261205165991876459e-02,4.323873138605831556e-01,-1.310236757738896252e+00
5.999999999999999778e-01,-1.704277151698309345e-02,-1.451147106696078042e-02,3.314173889996906430e-01,1.541030588180493030e-02,5.977808758826976682e-02,1.315606362401756935e-01,9.893841022115721362e-01,-1.184037857141982501e-02,1.799130046098570690e-01,-1.813684432177556705e+00,5.762419659222823426e-03,8.817099639463342742e-01,-1.496735502947200480e+00,-1.935968289041334334e-02,3.250433948160988962e-01,-1.119609463678174821e+00,-1.413150466283315254e-02,1.263582320779012669e+00,-1.603849930790373524e+00
6.500000000000000222e-01,-1.799036444087923070e-02,-1.568941998594023529e-02,3.215568679313945410e-01,1.907207682550827316e-02,2.644310300342869388e-02,1.507783230460108537e-01,9.880298150807721447e-01,-1.209239319871930479e-02,-7.670499079458467651e-02,-1.879162639997551176e+00,-4.065976390897012467e-03,9.435906540104062046e-01,-1.460313543880853215e+00,1.530385950555910451e-03,4.428441291283949921e-01,-1.281780700314946841e+00,-8.143258883350469601e-03,1.978424726779399956e+00,-1.343099219584770854e+00
7.000000000000000666e-01,-2.174569621196935018e-02,-1.707880244068159595e-02,3.187363482574913087e-01,2.283321938381563387e-02,1.605747682550787842e-02,1.463861350711446740e-01,9.888336063208518212e-01,-9.544185276515571026e-03,-1.824445961107407366e-01,-1.858019804320489188e+00,-4.037069558658852586e-03,9.510066837030647369e-01,-1.463653989104855890e+00,-5.135865841899699136e-03,4.779403916907049021e-01,-1.332125380478589971e+00,-4.847730666759385298e-03,2.205726326542226445e+00,-1.161203131289197721e+00
7.500000000000001110e-01,-2.202704666307704964e-02,-1.616610326569398529e-02,3.204141718274462480e-01,1.879963501510560631e-02,2.949159811001820022e-02,1.571922478264423384e-01,9.869485379630927868e-01,-9.035786356473340941e-03,1.650461344791336396e-02,-1.827595177318478203e+00,-1.185347511261094014e-02,9.398835510884235855e-01,-1.476060200253889398e+00,4.011521221251240082e-03,4.148462027865453261e-01,-1.271427861770226375e+00,-3.364762139805292651e-03,1.595809966484401654e+00,-1.202430998775854576e+00
8.000000000000001554e-01,-1.998182702483905157e-02,-1.335186112796320212e-02,3.257456394031409963e-01,-3.242915202926615476e-02,2.856027196514400457e-02,1.705244291141417012e-01,9.844054449459510581e-01,1.280836069712236458e-02,9.638048362813677050e-01,-1.420120689949912141e+00,-7.788805935734978859e-04,2.525610619980054872e-01,-1.810294639176914355e+00,-6.737139123733850918e-03,1.369210906538008476e+00,-1.107555987202281322e+00,-2.113655032072112722e-02,2.904190568538458916e-01,-1.147805283085982175e+00
8.500000000000001998e-01,-2.230883068550485945e-02,-1.683390845661546578e-02,3.211052431171582122e-01,-2.600126948590479950e-02,1.403227303635876978e-02,1.947060834208285407e-01,9.804165290209441164e-01,-3.708122416817637157e-03,9.722793379918399648e-01,-1.434533367769652790e+00,-6.282125018798295334e-04,-3.715994931190235578e-02,-1.898413979666560447e+00,2.060280393917191238e-03,1.773971894332609711e+00,-1.092066272535239468e+00,-6.694529407480600755e-03,3.811958610447396811e-01,-1.263981784096330330e+00
9.000000000000002442e-01,-2.515488310514544731e-02,-2.029631247879567710e-02,3.183825733549666137e-01,-2.269589229712185713e-02,6.812160839269067701e-03,2.055382938949326110e-01,9.783621521094822970e-01,-8.670316431414703401e-03,9.728121693211569943e-01,-1.445834820413008481e+00,1.638927618527593819e-03,-2.042952277836299346e-01,-1.909167104368579615e+00,3.043433144747142126e-03,2.045548792186116849e+00,-1.078701246250056478e+00,3.194986453143155297e-03,4.169124244270343005e-01,-1.318683851181829292e+00
9.500000000000002887e-01,-2.578949680631127325e-02,-2.277269274612611291e-02,3.206336733297770469e-01,-2.454530985171381186e-02,2.651866332472821094e-02,2.239938230310042078e-01,9.739204564561256827e-01,-2.173030999245118694e-02,9.423972592641480794e-01,-1.497599343330756616e+00,1.862000448465093994e-03,-6.929614137463856183e-02,-1.917182315512905744e+00,1.037416746178021487e-02,1.606200493719316169e+00,-1.112647855371159622e+00,1.799711790676757073e-02,3.690767069490288321e-01,-1.268173053179409981e+00
1.000000000000000222e+00,-2.269899341841561877e-02,-2.354556733204080099e-02,3.271683452889551647e-01,2.023657575086929700e-02,5.690475343536547520e-02,2.723639135368151609e-01,9.602969481578340627e-01,-3.959139578027428413e-04,2.408279827249183436e-01,-1.827141185101955445e+00,1.429697162138490567e-02,8.901150868877409916e-01,-1.545268283052105618e+00,-1.234308155463744588e-02,3.802178769086346777e-01,-1.152483998103044360e+00,-6.442269219708502727e-04,1.338332327344198713e+00,-1.228337974661007692e+00
1.050000000000000266e+00,-2.307707430654754033e-02,-2.168278726460189446e-02,3.183634360101347816e-01,2.662775619615219067e-02,1.981126567500057084e-02,2.900868816030396369e-01,9.564246324066193461e-01,-1.575145122040258992e-03,-1.676273522610146824e-02,-1.878677279011418122e+00,2.150865034023798604e-03,9.504949050885772577e-01,-1.484788406836694108e+00,9.017232337819940449e-03,5.174259976506494496e-01,-1.325551524246622925e+00,-7.402413253055416080e-04,1.874792741597147705e+00,-1.086803510603739475e+00
1.100000000000000311e+00,-2.502192593498346260e-02,-2.223988788134853220e-02,3.160845864802836469e-01,3.007933909060318128e-02,1.126295835701802278e-02,2.860902245382471176e-01,9.576642222368839663e-01,4.490236564159775633e-04,-1.422655024408944757e-01,-1.851157372535720880e+00,2.127813299386455397e-03,9.578441140026606737e-01,-1.482252053146100534e+00,2.486930820628209093e-03,5.542081441760203786e-01,-1.371836938390113891e+00,2.853475681228093749e-03,2.084340288986127998e+00,-1.075422375809343745e+00
1.150000000000000355e+00,-2.494381802763473779e-02,-2.100661566243227502e-02,3.179967472641752058e-01,2.377265435279347569e-02,2.498747482738165188e-02,2.962309095801392012e-01,9.544934443023153081e-01,2.712013015398938298e-03,3.610662114282513213e-02,-1.805787534172053288e+00,-5.709934557640483979e-03,9.468579417001011800e-01,-1.495336665075980065e+00,1.213397522856917918e-02,4.892155196746186263e-01,-1.308802548295366019e+00,1.514212663766633694e-03,1.597344242967686290e+00,-1.163225568979100233e+00
1.200000000000000400e+00,-2.276588326116660635e-02,-1.651270120343435732e-02,3.229450806329052792e-01,-3.059820591794382497e-02,1.796123329994120388e-02,3.114764300948105191e-01,9.495912685931462427e-01,2.531058268975732578e-02,9.825977717524237987e-01,-1.388499081759134057e+00,-1.259661823794095033e-03,2.753689615190848539e-01,-1.814440375087433610e+00,2.763904262591203309e-03,1.399345117829413843e+00,-1.127228276791790273e+00,-1.844361053803245803e-02,2.983137925283040892e-01,-1.190099965270179805e+00
1.250000000000000444e+00,-2.251522920545176443e-02,-1.744048122359924055e-02,3.199494418327616385e-01,-2.530643282380947573e-02,8.577222587641469137e-03,3.372656071383298704e-01,9.410302470973128663e-01,7.596262646878157269e-03,9.897442385516274088e-01,-1.406142886111333867e+00,-5.599626473300443885e-03,-3.791749892478749398e-03,-1.893326652019870160e+00,3.222611813686989540e-03,1.687478234599865123e+00,-1.172753984200776145e+00,-3.313680227973271608e-03,3.790270585120290581e-01,-1.279393647481365193e+00
1.300000000000000488e+00,-2.198008922124319864e-02,-1.724342874114784263e-02,3.185170362936193822e-01,-2.199430453176738978e-02,4.867766993209943042e-03,3.490928878620174203e-01,9.368173306770218867e-01,-3.418859066531002716e-03,9.942671650290437757e-01,-1.413141442961992622e+00,-3.645788407501291892e-03,-1.808807607092885461e-01,-1.898836515735624397e+00,2.673028300841395668e-03,1.837892935782348802e+00,-1.199389388932421863e+00,2.069857869088484372e-03,4.175304777308043724e-01,-1.319639472424136706e+00
1.350000000000000533e+00,-1.994731618267377854e-02,-1.507086012297279703e-02,3.213175587406367772e-01,-2.608441009578038247e-02,1.548265355183039635e-02,3.688762816267366906e-01,9.289834120382245430e-01,-1.780907336528553611e-02,9.778982145146180027e-01,-1.438325345345460082e+00,-2.132858051099539159e-03,-1.502855990108411567e-02,-1.870038662922705264e+00,6.309195471028575600e-03,1.506942502996069910e+00,-1.199065875949223425e+00,1.709554060432106476e-02,4.109289135588265474e-01,-1.291547320109015518e+00
1.400000000000000577e+00,-1.354134973234827691e-02,-1.112137824583554410e-02,3.264353158493226159e-01,-6.300031702038143321e-04,3.633841402285346855e-02,4.141119474023136071e-01,9.095000922380231945e-01,-4.246769400298793309e-03,1.962896275518006550e-01,-1.779072402260548191e+00,2.040132945424759717e-02,8.905374793913362064e-01,-1.473556065604445298e+00,-1.789115996772597597e-02,3.341297191600048899e-01,-1.218779016298818352e+00,1.744788531782229084e-03,1.369977882872966068e+00,-1.190223638880374191e+00
1.450000000000000622e+00,-1.259620588271315178e-02,-9.362138691721071798e-03,3.206450044046434411e-01,3.339361686498450426e-03,2.404933452055176002e-02,4.350607559679720016e-01,9.000736729786190660e-01,-3.005247333396295767e-03,-1.737947372286407777e-01,-1.879923203820815569e+00,3.939856363805128645e-03,9.318976715888600548e-01,-1.453849036153154195e+00,-3.673783333160310447e-04,3.724993474135122606e-01,-1.283424784937674756e+00,4.196223690312384305e-05,1.880916835960425137e+00,-1.239168855952183623e+00
1.500000000000000666e+00,-1.212610348860172424e-02,-8.186541759864680162e-03,3.206506369766018993e-01,5.713829819359169185e-03,2.187780750909074090e-02,4.425784595845326241e-01,8.964446557368573876e-01,-1.468632813929426992e-04,-4.334513760172079566e-01,-1.910108485398735123e+00,-6.013586315600637222e-03,9.384802664687522666e-01,-1.435837386703100016e+00,1.780942992326122951e-03,3.754233775694656994e-01,-1.285319346956673936e+00,2.506772313055241879e-03,2.166275624577304271e+00,-1.223722965991624667e+00
1.550000000000000711e+00,-1.010707883266564501e-02,-3.089780191098477190e-03,3.255171512141361578e-01,-6.514455030448886193e-03,4.051779357969381712e-02,4.623790143730638347e-01,8.857321927910736248e-01,4.971345757519489254e-03,-3.504252019307548816e-01,-1.896227741536974376e+00,-2.220737260969682728e-02,9.241883297275823583e-01,-1.425467728207638674e+00,1.579406735446955978e-02,2.808951128252630269e-01,-1.170441304195135812e+00,-2.280218937063900088e-03,1.527881336632583409e+00,-1.269267999318283158e+00
1.600000000000000755e+00,-7.090291288430979055e-03,4.927865920996390287e-03,3.342946266350586559e-01,-2.800196450587770156e-02,2.372152884493871142e-02,4.668394739318323938e-01,8.835802649630197791e-01,1.903872989423495421e-02,6.179809630526248432e-01,-1.446910386072514543e+00,-3.212648955949398005e-03,2.269302409278054489e-01,-1.783194201169373994e+00,-5.511522489426363622e-03,1.336980241014409154e+00,-1.188295820939867298e+00,-1.192487569597716970e-02,4.715316137952788589e-01,-1.186151479430961331e+00
1.650000000000000799e+00,-6.334424128167846085e-03,4.759473254342134335e-03,3.304719778224111670e-01,-1.498389283095023262e-02,6.004519102789961267e-03,4.769857754460675170e-01,8.787627658976502332e-01,-1.471588412506998414e-04,6.404918687453672321e-01,-1.419617996142820804e+00,1.582515047337448681e-03,-1.062030176655114483e-01,-1.922180704085759917e+00,6.607539828162719772e-04,1.973591753926850156e+00,-1.217584993201529242e+00,-5.850837011161028056e-03,5.784197448731270841e-01,-1.299129151175224095e+00
1.700000000000000844e+00,-6.515737173873516024e-03,1.856693805214870881e-03,3.273764424105221615e-01,-8.509389150435921548e-03,-2.087840946689398409e-03,4.838774573827450132e-01,8.750919022898552280e-01,-9.687398595149632544e-03,6.441864993641714943e-01,-1.414450790462697061e+00,4.245357753425009831e-03,-3.977232901840396240e-01,-1.990886491225887012e+00,-2.534429563852544018e-05,2.382673115160987898e+00,-1.293931042179746305e+00,2.665410973393098331e-03,6.285090580039969232e-01,-1.363092070547887058e+00
