FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.903593586404524225e-06,7.253500130903859366e-01,-1.480802897936844831e+00,5.997186218320485638e-06,7.251320781666370507e-01,-1.479995822350062440e+00,2.453348992479981606e-04,7.607827181996210664e-01,-1.553702913031647093e+00,2.453577610320423186e-04,7.607378787903055217e-01,-1.553232983769063491e+00
-1.610782637007089060e-03,7.455369720148328216e-01,-1.443907115573002775e+00,-1.604134102150789679e-03,7.471876491711527679e-01,-1.441030795199781167e+00,2.816218975160046135e-03,8.221653387962599702e-01,-1.598217663033500546e+00,2.824029365724979850e-03,8.270093564526224128e-01,-1.601105795059464487e+00
-1.920814823086546908e-03,7.417925159226652632e-01,-1.368765838746715202e+00,-1.873687280241001160e-03,7.458830053846605690e-01,-1.360548100425642559e+00,1.034813905961311752e-02,8.589668866966534422e-01,-1.600731583029224803e+00,1.041063121893579489e-02,8.726368089384883842e-01,-1.608769399540443068e+00
1.372810841466383554e-02,1.407113608972037633e-01,-1.826376556784818694e+00,-1.043140857359724574e-03,6.862786340033648624e-01,-1.291970200593881124e+00,8.030443350212374681e-03,7.795739297349698615e-01,-1.491533365860024274e+00,-1.204671744950962763e-02,3.529744614348306886e-01,-2.087362148721617849e+00
4.765082437359341797e-03,-6.668750603956009881e-02,-1.970046553765937070e+00,-6.975352118483771173e-03,6.687937396706287174e-01,-1.233330838013996900e+00,1.375064379281264442e-03,7.746778731488012104e-01,-1.455530284201137281e+00,-4.742330765910162012e-03,1.726675230453106891e-01,-2.189907977676282869e+00
-1.040757159437191021e-02,-1.495125863536333338e-02,-1.988316977786451112e+00,-6.797039899972502283e-03,6.650646353669673605e-01,-1.201385335932784404e+00,-8.469246646631756106e-04,7.850217885088408565e-01,-1.446081446832677919e+00,2.460969832295630336e-02,1.581468163862750909e-01,-2.173761085924209358e+00
4.473258407219390075e-03,3.178552924719179607e-01,-1.796296297334994296e+00,-1.009088302921691853e-03,6.734160607405186294e-01,-1.187065791139040538e+00,3.419175059222409521e-03,8.110152513049635470e-01,-1.461503807189274751e+00,-3.527634578695176132e-02,3.058573025863188244e-01,-1.996589502226914448e+00
1.392434817738709765e-02,7.639416912790768510e-01,-1.245101670810818462e+00,-1.548895519116396183e-02,8.768801574291008524e-03,-1.702136962969226675e+00,2.349016045268387254e-02,2.606792390454755748e-01,-1.986040994463524001e+00,-5.386930215820951232e-03,6.099369544362295281e-01,-1.402418804055294732e+00
1.478878579532238308e-02,7.747722645647542317e-01,-1.286365676882242459e+00,8.609577819236911150e-03,-2.895672818543330029e-01,-1.881790377800875991e+00,-8.015456331415272626e-03,2.550121266886663518e-01,-2.198798168482563042e+00,-1.322515584726052275e-02,5.965405356940999271e-01,-1.417606314548677915e+00
-2.207240760913156772e-03,7.647937185973335827e-01,-1.286848143237778075e+00,2.237253445181725670e-02,-2.494842187296159031e-01,-1.953434280033749859e+00,-2.712520534813013182e-02,5.160379603195873743e-01,-2.267891255407701312e+00,-9.388890407528176565e-03,6.124936837748626850e-01,-1.433012418304119517e+00
-2.541740409598537351e-02,7.299017145194057754e-01,-1.311133049154117103e+00,-2.146465356618013770e-02,9.456745998125599961e-02,-1.849631420228297074e+00,3.509195701942147833e-02,8.302754731327784965e-01,-2.088792260617306606e+00,4.310975974512151060e-02,6.248181966802255349e-01,-1.424956012261245908e+00
