t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,2.243481585227100582e-03,8.922202382421153184e-05,3.088903905290921181e-01,-2.089958034672271181e-04,-1.384280164838911850e-02,9.682910726197739397e-05,9.999041573007891870e-01,5.903593586404524225e-06,7.253500130903859366e-01,-1.480802897936844831e+00,5.997186218320485638e-06,7.251320781666370507e-01,-1.479995822350062440e+00,2.453348992479981606e-04,7.607827181996210664e-01,-1.553702913031647093e+00,2.453577610320423186e-04,7.607378787903055217e-01,-1.553232983769063491e+00
1.000000000000000056e-01,4.875707948068476114e-03,-5.558819531507063920e-05,3.081988070028873761e-01,-1.801102491445885135e-04,-2.982711338758241293e-02,1.752521833164251940e-03,9.995535200950905752e-01,-1.610782637007089060e-03,7.455369720148328216e-01,-1.443907115573002775e+00,-1.604134102150789679e-03,7.471876491711527679e-01,-1.441030795199781167e+00,2.816218975160046135e-03,8.221653387962599702e-01,-1.598217663033500546e+00,2.824029365724979850e-03,8.270093564526224128e-01,-1.601105795059464487e+00
1.500000000000000222e-01,7.133240926221642679e-03,-3.987759478331184999e-04,3.132246264359946908e-01,-1.225488164280254602e-03,-4.468238782678213283e-02,4.833216205726372991e-03,9.989887999462080392e-01,-1.920814823086546908e-03,7.417925159226652632e-01,-1.368765838746715202e+00,-1.873687280241001160e-03,7.458830053846605690e-01,-1.360548100425642559e+00,1.034813905961311752e-02,8.589668866966534422e-01,-1.600731583029224803e+00,1.041063121893579489e-02,8.726368089384883842e-01,-1.608769399540443068e+00
2.000000000000000111e-01,4.160393691733578481e-03,-1.119453094867521462e-03,3.259050803068994639e-01,6.928235353605898070e-05,-3.613253639827968683e-02,3.710797080861364967e-03,9.993401147749484403e-01,1.372810841466383554e-02,1.407113608972037633e-01,-1.826376556784818694e+00,-1.043140857359724574e-03,6.862786340033648624e-01,-1.291970200593881124e+00,8.030443350212374681e-03,7.795739297349698615e-01,-1.491533365860024274e+00,-1.204671744950962763e-02,3.529744614348306886e-01,-2.087362148721617849e+00
2.500000000000000000e-01,5.094279384837363533e-03,-1.924387191317006784e-03,3.322338244560090748e-01,4.417367278711550535e-03,-4.061436305245332001e-02,3.538082001069035171e-03,9.991588674259574976e-01,4.765082437359341797e-03,-6.668750603956009881e-02,-1.970046553765937070e+00,-6.975352118483771173e-03,6.687937396706287174e-01,-1.233330838013996900e+00,1.375064379281264442e-03,7.746778731488012104e-01,-1.455530284201137281e+00,-4.742330765910162012e-03,1.726675230453106891e-01,-2.189907977676282869e+00
2.999999999999999889e-01,6.361290704991359908e-03,-3.178560372272664497e-03,3.349928355179631057e-01,6.765310771049097040e-03,-4.538814381170268308e-02,2.462983104412673572e-03,9.989434822279620318e-01,-1.040757159437191021e-02,-1.495125863536333338e-02,-1.988316977786451112e+00,-6.797039899972502283e-03,6.650646353669673605e-01,-1.201385335932784404e+00,-8.469246646631756106e-04,7.850217885088408565e-01,-1.446081446832677919e+00,2.460969832295630336e-02,1.581468163862750909e-01,-2.173761085924209358e+00
3.499999999999999778e-01,7.650047836926488279e-03,-5.045109481668704800e-03,3.348424581696619051e-01,7.035390136069481944e-03,-5.188304239021750142e-02,1.531121949513019947e-03,9.986272121585431094e-01,4.473258407219390075e-03,3.178552924719179607e-01,-1.796296297334994296e+00,-1.009088302921691853e-03,6.734160607405186294e-01,-1.187065791139040538e+00,3.419175059222409521e-03,8.110152513049635470e-01,-1.461503807189274751e+00,-3.527634578695176132e-02,3.058573025863188244e-01,-1.996589502226914448e+00
3.999999999999999667e-01,3.213320874226656756e-03,-7.599901616539160923e-03,3.324640915687821496e-01,2.169571379039697545e-03,-2.694741202685356149e-02,1.743871911757760573e-02,9.994823765432907514e-01,1.392434817738709765e-02,7.639416912790768510e-01,-1.245101670810818462e+00,-1.548895519116396183e-02,8.768801574291008524e-03,-1.702136962969226675e+00,2.349016045268387254e-02,2.606792390454755748e-01,-1.986040994463524001e+00,-5.386930215820951232e-03,6.099369544362295281e-01,-1.402418804055294732e+00
4.499999999999999556e-01,2.401589699511790486e-03,-9.584289982143355535e-03,3.281407743813870570e-01,6.820923474153771371e-03,-2.044852794067034824e-02,1.288981683122107473e-02,9.996845429084502133e-01,1.478878579532238308e-02,7.747722645647542317e-01,-1.286365676882242459e+00,8.609577819236911150e-03,-2.895672818543330029e-01,-1.881790377800875991e+00,-8.015456331415272626e-03,2.550121266886663518e-01,-2.198798168482563042e+00,-1.322515584726052275e-02,5.965405356940999271e-01,-1.417606314548677915e+00
