t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,1.861190930580190576e-03,1.020314878370990989e-04,3.101611872616107934e-01,1.108421102594432574e-03,-1.001677582674586481e-02,-1.251698917878384066e-03,9.999484330976847746e-01,-9.038474090706859025e-04,7.175337191803720094e-01,-1.480241867268534017e+00,-9.003343237981730916e-04,7.167245085814722971e-01,-1.483253644821304729e+00,-4.057012275944413618e-03,7.442720142371771486e-01,-1.535418814522250264e+00,-4.054942904310823021e-03,7.413712751395894474e-01,-1.534270226147163241e+00
1.000000000000000056e-01,3.830054763563589364e-03,2.897415529400868277e-04,3.112898050877678235e-01,2.237389092639296192e-03,-1.994439790063526688e-02,-3.955320249871645526e-04,9.997985090191155999e-01,-4.833311828587504889e-03,7.260878468098712624e-01,-1.446205071994507874e+00,-4.836309249738083953e-03,7.265246192741736664e-01,-1.448639104631920693e+00,-5.971651758157708184e-03,7.787387608728982835e-01,-1.553227874799881114e+00,-5.975677915396907132e-03,7.783371276611436018e-01,-1.554068774245027651e+00
1.500000000000000222e-01,4.697704224497805357e-03,6.227422108868123753e-04,3.185183974879982616e-01,1.470836153657868869e-03,-2.373994292975211209e-02,2.239112127277952634e-03,9.997145783310267264e-01,-7.490684800029911300e-03,7.052484082088553707e-01,-1.386995289850718516e+00,-7.481687418871391451e-03,7.069036346847508145e-01,-1.382719075980418433e+00,-2.252095215899861756e-03,7.677631538600354633e-01,-1.513509355766537556e+00,-2.243649769053989666e-03,7.732588023058943882e-01,-1.516377135318658587e+00
2.000000000000000111e-01,1.969012547855669270e-03,7.837483758809306745e-04,3.327612501881392348e-01,-8.784226225555126890e-04,-1.516461754226276250e-02,3.672477682172324651e-03,9.998778803714817309e-01,1.119565480162450222e-02,2.722958506980959759e-01,-1.874673309936099264e+00,-4.929421955092967191e-03,6.411922734453447958e-01,-1.296325821033752712e+00,3.514097148900384091e-03,6.804226427136547128e-01,-1.389254200035068942e+00,-3.005458594388742133e-02,5.688630844107018802e-01,-2.057049512189226270e+00
2.500000000000000000e-01,1.330251295555236277e-03,1.005641551496047875e-03,3.414099869986143010e-01,-2.375369598262277396e-03,-1.415801719513653037e-02,4.387827298310717668e-03,9.998873212217335160e-01,-1.420746860423693914e-02,4.753077022781154043e-02,-2.027908138075989797e+00,-3.283047813944315468e-03,6.049016119978599670e-01,-1.228378361573495781e+00,6.584497637343136520e-03,6.435852679076063954e-01,-1.322353368656137063e+00,3.717301624773651763e-03,5.516245428923874927e-01,-2.264719124095972091e+00
2.999999999999999889e-01,1.397326487632589856e-03,1.283109256889624315e-03,3.452874268269472413e-01,-6.703669553275242235e-03,-1.948393194064607786e-02,-6.852435713897267293e-03,9.997642128699344433e-01,-2.623935064694084621e-02,4.995502282772128905e-02,-1.980637766528455579e+00,1.744023228206001766e-02,5.854491913116127710e-01,-1.184741454655578119e+00,2.155544769551423576e-03,6.639508283180705073e-01,-1.321711592362008414e+00,2.010757510325053565e-02,6.973860473098069113e-01,-2.280881283494181844e+00
3.499999999999999778e-01,2.039905876785292217e-03,1.842756261923883705e-03,3.456047707537550640e-01,-7.762590982964817816e-03,-3.180258288124806348e-02,-3.837859890100167592e-02,9.987269001332188534e-01,2.874495130887580810e-02,2.546698332364359385e-01,-1.730822211891924534e+00,5.325528720625596207e-02,5.782199127395052374e-01,-1.163779568691134525e+00,-3.531105585191153529e-02,7.467040124495770703e-01,-1.381264724484372319e+00,-4.510125900236861690e-02,8.938635373347865176e-01,-2.041687603034530341e+00
3.999999999999999667e-01,-3.195571572630724003e-04,3.707744063978653335e-03,3.418750619971021032e-01,8.402384199378523828e-04,-2.834388665136357635e-02,-8.065430855308915181e-02,9.963386977332132632e-01,-3.360595432111967290e-02,6.293592053639233130e-01,-1.206996731933942302e+00,-1.766293130197945857e-02,1.676688610442609029e-01,-1.679285566954061393e+00,2.781598315187432807e-02,4.570108967708515491e-01,-1.930729058303648271e+00,5.138911110421726103e-02,7.783053211289802098e-01,-1.400086893357012752e+00
4.499999999999999556e-01,-2.100288147398706156e-03,4.359440097362495686e-03,3.379437105206089531e-01,2.332219199992478700e-03,-2.908508371959749733e-02,-1.171969008595990097e-01,9.926799610587152545e-01,2.264828109626729983e-03,6.529284356573711312e-01,-1.205838235499359534e+00,1.004054639914432438e-02,-3.216509812388135270e-02,-1.903012242451250779e+00,-4.045851789134490006e-03,2.672780517631619945e-01,-2.098184571108834717e+00,1.673197067371426329e-03,7.456933910965367618e-01,-1.404850565743228197e+00
4.999999999999999445e-01,-4.301792514948446326e-03,4.152059502591247744e-03,3.377169537650585585e-01,4.277004510047725458e-03,-2.625461105344980769e-02,-1.242886635679627400e-01,9.918894750622888612e-01,8.846612525955924872e-03,6.478160417601940280e-01,-1.207670882956402680e+00,1.596288054099865433e-02,2.757279364219176326e-02,-1.928536583737327836e+00,-2.507524461314526373e-02,2.141241602916240105e-01,-2.095879916480047012e+00,-7.893197663156876001e-03,7.215512501797021194e-01,-1.394360806065287450e+00
5.499999999999999334e-01,-7.453337944656581240e-03,3.442824527491497241e-03,3.393943846236829320e-01,4.847892579767772332e-03,-1.757433648429122808e-02,-1.204389261068677108e-01,9.925533263824651842e-01,9.769575244845261214e-03,6.263196941788558014e-01,-1.221631170780141273e+00,-3.971394064710068866e-02,3.120329310580979287e-01,-1.754203523471421056e+00,3.414878277671654083e-02,3.784001410480972716e-01,-1.917587061366707646e+00,1.957688236466064140e-03,6.827583521292104329e-01,-1.362351126070110441e+00
5.999999999999999778e-01,-1.364987286948276569e-02,1.975708811249304777e-03,3.395529933090457031e-01,-1.149844997688773997e-02,3.401298593151576115e-03,-1.363011351461939358e-01,9.905948805510091937e-01,3.739977144386420760e-02,2.849513065130195311e-01,-1.798829883742780966e+00,-1.921362901346316404e-02,6.928698065680566343e-01,-1.251914807550853936e+00,5.049396602678028409e-03,6.266337388763175698e-01,-1.312316361445545532e+00,-3.731317294361582992e-02,1.262724905501929618e+00,-1.969997633831720885e+00
6.500000000000000222e-01,-1.843134291275273090e-02,1.840090989023837826e-03,3.395906404609150830e-01,-1.200251916534452595e-02,9.996826042163653100e-03,-1.393104473371490348e-01,9.901255487388918031e-01,-2.454699787443785641e-02,9.229568858370551521e-02,-2.022417577098999608e+00,-9.296607077423923310e-03,6.782046410570057304e-01,-1.279119495352504021e+00,8.884658841349632463e-03,5.929828241717745030e-01,-1.292222168704052709e+00,2.367101858857265789e-02,1.616451553729759461e+00,-2.100612330313522236e+00
7.000000000000000666e-01,-2.127597639031298879e-02,2.478429218916717528e-03,3.407391961034764161e-01,-1.468011843240839623e-02,1.327678463531021050e-02,-1.535243778464379649e-01,9.879466010465455250e-01,-2.639079192851999031e-02,6.003608194479220783e-02,-2.029345089481957132e+00,1.298097395006814724e-02,6.577271249601241987e-01,-1.291223310746736352e+00,7.844508971432258239e-04,5.882850260766837591e-01,-1.287851801169553667e+00,2.105811221489341592e-02,1.688067965202770582e+00,-1.996488759537082824e+00
7.500000000000001110e-01,-2.266088013323248537e-02,4.050167760788122955e-03,3.439292086671238979e-01,-1.015306761398540591e-02,1.858792257593306491e-02,-1.874947182378351451e-01,9.820372370665237938e-01,2.829208328259125160e-02,1.909541715195579026e-01,-1.836242660385684955e+00,4.214400035039163328e-02,6.228441192622505840e-01,-1.313043278130730629e+00,-4.496353292824332298e-02,5.875969155694089618e-01,-1.269168460834825929e+00,-3.270307669368286568e-02,1.442374203148053535e+00,-1.725509893314840282e+00
8.000000000000001554e-01,-2.280400150572605908e-02,8.492178511879503594e-03,3.443354213550157694e-01,1.786206099804209593e-02,2.481109089541287671e-02,-2.368890899901853198e-01,9.710555677143835052e-01,-5.582987801819769974e-02,4.888050115262231876e-01,-1.338894311211915156e+00,-2.360465226773278413e-02,2.926023868775045056e-01,-1.872796100909440264e+00,4.593247806907961583e-02,1.075623143418414251e+00,-1.914431559074644573e+00,5.689350085155908676e-02,7.039565637628336647e-01,-1.192585655454861060e+00
8.500000000000001998e-01,-2.455287846444451777e-02,1.119590099897084870e-02,3.422842560485197527e-01,1.829684356793922356e-02,2.328063117414667926e-02,-2.774805752044357532e-01,9.602748398827281040e-01,-1.110815590567152279e-03,5.103507004876710607e-01,-1.321577277905988890e+00,2.038161550962610744e-02,8.193738659912458422e-02,-2.058331985416760990e+00,-9.704630158127242751e-03,1.390732620965701605e+00,-2.097103304693353820e+00,-4.648652079431413349e-03,6.655525289653603238e-01,-1.187727200235956460e+00
9.000000000000002442e-01,-2.622314611311254637e-02,1.249826994736193651e-02,3.432379687989074446e-01,1.646075850563939735e-02,2.210924715722199785e-02,-2.838960579909199922e-01,9.584587903904768780e-01,1.048413704549033994e-02,5.053230802484316442e-01,-1.304096921285013311e+00,2.302870159363561847e-02,9.669304931356269284e-02,-2.043850821349755709e+00,-2.364794688987794172e-02,1.494125147967941158e+00,-2.036138792291113386e+00,-1.097922282425673780e-02,6.534860767938662773e-01,-1.180313945358861139e+00
9.500000000000002887e-01,-2.766053498446351816e-02,1.220065430168950325e-02,3.450386559677486309e-01,1.606923540277664653e-02,1.714428085070873742e-02,-2.734128545272762056e-01,9.616097255575822844e-01,-4.073459519638367686e-03,4.916147776569034789e-01,-1.280486176442030777e+00,-4.826251149166949778e-02,3.162580110420734059e-01,-1.847367636087905884e+00,4.126705316542159802e-02,1.333170891180294415e+00,-1.767038999530990306e+00,3.977030394380174673e-03,6.757270918184568043e-01,-1.193649764484522979e+00
1.000000000000000222e+00,-3.046629763736811297e-02,9.240161071065688264e-03,3.443850283892270769e-01,2.637872961803242391e-03,2.063093544474203095e-02,-2.796029390602855491e-01,9.598904117646777090e-01,5.083502314456529031e-02,3.074114103441206169e-01,-1.829554390941127373e+00,-1.571704437773289650e-02,5.722996976104509637e-01,-1.299725758348877713e+00,-5.067600006579352744e-03,6.645089790409418606e-01,-1.186810925806929928e+00,-4.276546567342460331e-02,1.363184890593926779e+00,-1.735411039518225396e+00
1.050000000000000266e+00,-3.347861782553857024e-02,9.616881898950069632e-03,3.438645605856883170e-01,2.449864646031853395e-03,1.852015566045471517e-02,-2.743720770824457089e-01,9.614421279073396276e-01,-1.447378132323295409e-02,1.730791838205913979e-01,-2.020365452970315889e+00,-1.959119584960270985e-02,5.711127713037255083e-01,-1.295328283333341268e+00,4.706968716131741323e-03,6.596843831382546153e-01,-1.192800666627072737e+00,2.756656488660262291e-02,1.700039710666938930e+00,-1.888666331010823818e+00
1.100000000000000311e+00,-3.508463584785485173e-02,1.087216565037339884e-02,3.445383154454918495e-01,7.463041846656579166e-04,1.840024305498811144e-02,-2.833444406062691212e-01,9.588413852473732790e-01,-1.469050048091887981e-02,1.297228361610891501e-01,-2.020896161250873568e+00,-5.002871495474865877e-03,5.574188799670476424e-01,-1.293930787604352206e+00,-4.518491001362773089e-03,6.662829793680102863e-01,-1.199979479459867271e+00,3.017228932618817860e-02,1.727897176783111721e+00,-1.836749073739327720e+00
1.150000000000000355e+00,-3.543452080323817449e-02,1.263253994354846844e-02,3.468678317435520131e-01,-5.936855883821851422e-04,2.320496346762968357e-02,-3.172657952484418953e-01,9.480525261678605098e-01,2.795373470595786253e-02,2.114529730041683209e-01,-1.844001742092545637e+00,4.423426019080026889e-02,5.229021085823237769e-01,-1.309451151907709665e+00,-4.816255533677166883e-02,6.791662073540529754e-01,-1.197588391207895731e+00,-2.289492671338291818e-02,1.434213202225812278e+00,-1.627520627605731240e+00
1.200000000000000400e+00,-3.339244256513847209e-02,1.543479072881802708e-02,3.424481505323923591e-01,5.146715742570619201e-03,2.100333247014758709e-02,-3.686274178180934946e-01,9.293256685226004565e-01,-4.904464398381498669e-02,4.641264531915224589e-01,-1.342161675126094300e+00,-2.644990314701950104e-02,3.422389569894341843e-01,-1.871092611039539833e+00,2.958617259837714383e-02,1.386038507127129726e+00,-1.768194450170549548e+00,6.425091437060712063e-02,7.890721841682158955e-01,-1.145815337759444219e+00
1.250000000000000444e+00,-3.383806332616465934e-02,1.821158902720863490e-02,3.379388160792083373e-01,4.284027291834516769e-03,1.467325929664451724e-02,-4.077528082250249097e-01,9.129643968722889191e-01,6.893234476293968495e-03,4.995676406196906671e-01,-1.330117843366061869e+00,1.516707924758725276e-02,2.113219087929537887e-01,-2.061506501357559973e+00,-7.497803520231464611e-03,1.726406098283475243e+00,-1.932264136676699939e+00,-9.349430282539081261e-03,7.820636676194908654e-01,-1.179446106840978059e+00
1.300000000000000488e+00,-3.448786725456546437e-02,1.989311745974037260e-02,3.394748067021909899e-01,3.962057248328101737e-03,1.519388950980599812e-02,-4.112960799469714268e-01,9.113665467001623721e-01,1.171819704738982434e-02,4.911523913501194549e-01,-1.316572032522305369e+00,2.215904029072568449e-02,2.013668333950891509e-01,-2.050297016525505889e+00,-1.329919780159061031e-02,1.736487716020117977e+00,-1.874403216907757797e+00,-1.597745728008685001e-02,7.643302695034804861e-01,-1.163833586723036939e+00
1.350000000000000533e+00,-3.499493285889811872e-02,1.997655564223799196e-02,3.439025306355560363e-01,4.068425983089121907e-03,1.458341028066757056e-02,-3.937636718648561129e-01,9.190870158881104812e-01,-1.634066918914332811e-02,4.644231343788222666e-01,-1.293455818143753211e+00,-4.085699803011608178e-02,3.220190568493817573e-01,-1.839831126591121357e+00,4.664926050095030696e-02,1.447333493554189277e+00,-1.628493378751328047e+00,1.338525823990036404e-02,7.685193368434478645e-01,-1.144342175271453099e+00
1.400000000000000577e+00,-3.755538891911396060e-02,1.924390250681509706e-02,3.473615520879339003e-01,5.276504379479176818e-03,2.823938725737766206e-02,-3.970608060455633193e-01,9.173425814881311924e-01,3.898235030168450965e-02,3.476329436302234566e-01,-1.871623196798617217e+00,1.078967715964891010e-03,5.111809700172431636e-01,-1.297959377673511883e+00,7.994157186147100988e-04,6.798557291142535153e-01,-1.105691226627981916e+00,-6.128778902093070385e-02,1.306308232480692721e+00,-1.702000354256815173e+00
1.450000000000000622e+00,-3.850610309364350253e-02,2.040945878388911866e-02,3.478393961705207871e-01,5.787442995099286239e-03,3.042741045298221619e-02,-3.870365043598685828e-01,9.215440426206430446e-01,-2.888688883640271043e-02,2.117540098156429074e-01,-2.078293830453539215e+00,-1.335351090992611435e-02,5.083883912164168795e-01,-1.290626601238089144e+00,1.608185342338906004e-02,6.531837665761695000e-01,-1.088095107224269720e+00,2.020584756842279742e-02,1.512234979062808238e+00,-1.900704661070997448e+00
1.500000000000000666e+00,-3.787509240687615686e-02,2.113506787002328996e-02,3.475239982416504225e-01,4.256197726738356751e-03,3.197941551254629422e-02,-3.941314702255871993e-01,9.184876623788715833e-01,-2.201594078543612359e-02,1.485564021285490088e-01,-2.081916038104082656e+00,-1.515509160120709613e-03,5.030656942835375345e-01,-1.298078310006995029e+00,6.920464857173869513e-03,6.630140642713944210e-01,-1.098388049991672721e+00,1.915283089421231794e-02,1.523069442581829858e+00,-1.877297558469251726e+00
1.550000000000000711e+00,-3.574867916145336999e-02,2.108152867005600936e-02,3.465808485373571002e-01,6.579396734897494797e-03,3.438904081656152939e-02,-4.284227442814075859e-01,9.028998048469770721e-01,2.564701482235670280e-02,2.070793741305334557e-01,-1.891408624730849697e+00,4.543115050361871271e-02,4.882556159154682329e-01,-1.339778472953750521e+00,-5.217708989927584418e-02,7.003105635249343708e-01,-1.120784683079170119e+00,-3.996688019403121794e-02,1.317723695818665108e+00,-1.667354154610764860e+00
1.600000000000000755e+00,-3.036032770013197268e-02,2.022018110707745481e-02,3.381170437459517508e-01,1.310801651626597800e-02,2.580761647039415962e-02,-4.744390610326021385e-01,8.798123232835678431e-01,-3.823540552356265165e-02,4.334168011566970624e-01,-1.372437081315482699e+00,-3.848950822609771560e-02,3.386100766944655782e-01,-1.913220180136126158e+00,2.822988897709149611e-02,1.412376680521318040e+00,-1.665661915175668417e+00,6.894793535073717727e-02,7.789228477680054663e-01,-1.173291307801904937e+00
1.650000000000000799e+00,-2.904310207806255761e-02,2.096495475092620062e-02,3.328870428311099805e-01,1.398541226086596513e-02,1.705108347848954126e-02,-5.102958474368396447e-01,8.597161257559502445e-01,1.304586989910913424e-02,4.803187363890530914e-01,-1.363237626421633486e+00,1.275745179927478996e-02,2.475544525238938531e-01,-2.130209865126762470e+00,-1.666002485398498933e-02,1.714937295891212354e+00,-1.873829026576239176e+00,-7.966150399793498621e-03,7.867854434223237048e-01,-1.214901118175995887e+00
1.700000000000000844e+00,-2.888054563564747962e-02,2.090816434490744974e-02,3.349445789082665659e-01,1.376573276328119794e-02,1.665286592544766228e-02,-5.141716302365847424e-01,8.574151394265276949e-01,1.946401009153091166e-02,4.772794060388587112e-01,-1.343768525068497421e+00,2.642983219816954360e-02,2.669294183399490983e-01,-2.126111171824186297e+00,-3.640078355644304348e-02,1.703873172705899552e+00,-1.851619820350183021e+00,-1.516416000508285893e-02,7.733417963236146608e-01,-1.195881427675237640e+00
1.750000000000000888e+00,-2.944426429759035291e-02,1.973695529769459861e-02,3.405906540138702865e-01,1.392087732997114406e-02,1.747696472376223872e-02,-4.971196257415190223e-01,8.673942832305389095e-01,-7.444865346596285689e-03,4.485754691436280028e-01,-1.317056041814868683e+00,-4.556354969967612439e-02,3.845606903485698780e-01,-1.907088285740640154e+00,3.562008506728651241e-02,1.421941535742356821e+00,-1.636992150188218531e+00,1.839201084500509398e-02,7.697499507952588749e-01,-1.161419119581386550e+00
1.800000000000000933e+00,-3.284903117388485866e-02,1.828307398604629014e-02,3.445023733295564106e-01,1.079439972146103120e-02,3.721096539695030458e-02,-4.932700001553150249e-01,8.690129641930871562e-01,4.349908387937360954e-02,2.690516950195544488e-01,-1.871403384111864687e+00,6.653851958804741021e-03,4.664418686653086787e-01,-1.335389467981185962e+00,-1.234980730033805735e-02,6.425201826058917209e-01,-1.131014185614047207e+00,-4.671220769440556642e-02,1.270869169090973250e+00,-1.715645648105119214e+00
1.850000000000000977e+00,-3.357892668599195274e-02,1.803951202075535984e-02,3.458357268133970819e-01,8.693201009540395610e-03,3.258765969535273171e-02,-4.782484147014601228e-01,8.775767354068405579e-01,-1.919717586722290495e-02,1.980046288898035522e-01,-2.064632114892022141e+00,-1.727151301189150043e-02,4.755411928043036807e-01,-1.299100879966252453e+00,1.135646281454672814e-02,6.334904984184054344e-01,-1.121321836242780368e+00,2.250597405796394765e-02,1.519795576267449766e+00,-1.953981500696054363e+00
