FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
3.016303641541259045e-03,7.257852640332637106e-01,-1.486761956158125564e+00,3.059586772571051827e-03,7.197496354112165040e-01,-1.491540459957066300e+00,-8.560262568300119543e-03,7.507160189987558407e-01,-1.537935275764615861e+00,-8.502592616604229270e-03,7.371281230642481308e-01,-1.527638587517489377e+00
1.927787888410707664e-03,7.566439081400546662e-01,-1.454856527924579090e+00,1.968707035434843090e-03,7.460106556404682010e-01,-1.450613963982334775e+00,-1.034965741741485437e-02,8.172781477256592098e-01,-1.575149185652843453e+00,-1.023207596598952641e-02,7.983335267535121016e-01,-1.555599563659408435e+00
3.688451139898753749e-03,7.684731328451991361e-01,-1.400918845258480427e+00,3.814263589729622369e-03,7.505626806414060770e-01,-1.362573758561541393e+00,5.836206253915421707e-03,8.523131540781189175e-01,-1.562848064007727578e+00,5.936905800898828293e-03,8.375914357974830748e-01,-1.530595299985322510e+00
1.032169441604019119e-02,3.529036642176394123e-01,-1.959303226643659634e+00,-1.123039372435953413e-02,7.109503595005823851e-01,-1.285867190589317977e+00,6.144435554485972719e-04,7.833001418359141210e-01,-1.443457781451098709e+00,-3.395318652298993239e-02,2.814700007493423639e-01,-1.986224855254623112e+00
-2.665689364589031440e-02,3.119416674569607806e-01,-2.128220468528489118e+00,-5.283593670790133132e-03,7.031278904550578579e-01,-1.190422904639286905e+00,1.557749941023471411e-02,8.005544450606405515e-01,-1.405134793575903318e+00,3.056220044692193466e-02,9.685430928476686241e-02,-2.106656489644782582e+00
-2.702783133139355712e-02,2.478762444363911410e-01,-2.079056649688488356e+00,2.650117246357678799e-02,7.010743808338172345e-01,-1.147256932386868655e+00,1.555740374561907953e-02,8.475495161671293687e-01,-1.405369010246772632e+00,1.507017028016867551e-02,2.243834559548999602e-02,-2.073163606728677610e+00
2.743169016996782617e-02,3.009037123154978399e-01,-1.869614694062530447e+00,4.102242807917923922e-02,7.012703198319081288e-01,-1.202953576477198583e+00,-7.701486831496771879e-02,8.720571541226840306e-01,-1.374479775422843497e+00,-5.152371425089814772e-02,8.596713527845403768e-02,-1.870403937636101910e+00
-3.595357271774276414e-02,5.213025348630274669e-01,-1.251912586964121665e+00,-5.725681501678882984e-02,2.025647000391121999e-01,-1.811905509208527665e+00,5.401430580665867592e-02,7.822773089708063843e-01,-2.016336026057538700e+00,6.702713537736904037e-02,4.032363538431436578e-01,-1.316564637644083824e+00
-5.358683085667483026e-03,6.282905219569426825e-01,-1.266454522065676658e+00,4.611216227852527223e-03,1.126058076654254218e-02,-2.007161509341171435e+00,-1.035355005263872627e-02,7.005898822764141665e-01,-2.221742228188542612e+00,5.536198573819923856e-03,4.463252961680422848e-01,-1.355149449971819076e+00
2.002195226602754632e-02,7.070202367973650315e-01,-1.280427612783569646e+00,3.617546837816058413e-03,-6.684245833713110384e-04,-1.972785235741574494e+00,-3.903928457407269265e-02,4.654305721715987776e-01,-2.169559454158055622e+00,1.573274277013137629e-03,5.063594983403122418e-01,-1.383912178602233256e+00
