t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,3.605468353007130599e-03,7.142323808280794410e-04,3.098455147402687238e-01,3.319700699165853875e-04,-8.252947576074363620e-03,-4.616453587822514151e-03,9.999552325021608956e-01,3.016303641541259045e-03,7.257852640332637106e-01,-1.486761956158125564e+00,3.059586772571051827e-03,7.197496354112165040e-01,-1.491540459957066300e+00,-8.560262568300119543e-03,7.507160189987558407e-01,-1.537935275764615861e+00,-8.502592616604229270e-03,7.371281230642481308e-01,-1.527638587517489377e+00
1.000000000000000056e-01,1.016184412512633438e-02,2.305175472114827286e-03,3.101957645384825213e-01,-1.729202895428144388e-03,-2.126787262647186066e-02,-4.782655371980322652e-03,9.997608782398336169e-01,1.927787888410707664e-03,7.566439081400546662e-01,-1.454856527924579090e+00,1.968707035434843090e-03,7.460106556404682010e-01,-1.450613963982334775e+00,-1.034965741741485437e-02,8.172781477256592098e-01,-1.575149185652843453e+00,-1.023207596598952641e-02,7.983335267535121016e-01,-1.555599563659408435e+00
1.500000000000000222e-01,1.852605134687036054e-02,5.089126285383302299e-03,3.165104022607046486e-01,-1.038904988036313398e-02,-3.036808228795506021e-02,1.041268776034255227e-03,9.994842484902257684e-01,3.688451139898753749e-03,7.684731328451991361e-01,-1.400918845258480427e+00,3.814263589729622369e-03,7.505626806414060770e-01,-1.362573758561541393e+00,5.836206253915421707e-03,8.523131540781189175e-01,-1.562848064007727578e+00,5.936905800898828293e-03,8.375914357974830748e-01,-1.530595299985322510e+00
2.000000000000000111e-01,2.526673538927565535e-02,9.224495303469254157e-03,3.295207650779310993e-01,-1.099736595145080903e-02,-1.772363352258132796e-02,5.490798499809311853e-03,9.997673638845796518e-01,1.032169441604019119e-02,3.529036642176394123e-01,-1.959303226643659634e+00,-1.123039372435953413e-02,7.109503595005823851e-01,-1.285867190589317977e+00,6.144435554485972719e-04,7.833001418359141210e-01,-1.443457781451098709e+00,-3.395318652298993239e-02,2.814700007493423639e-01,-1.986224855254623112e+00
2.500000000000000000e-01,3.658528296226998960e-02,1.352477611913751286e-02,3.369908908550564020e-01,-2.163209004348500344e-02,-2.045688389675662244e-02,9.754214880407055185e-03,9.995090914412194660e-01,-2.665689364589031440e-02,3.119416674569607806e-01,-2.128220468528489118e+00,-5.283593670790133132e-03,7.031278904550578579e-01,-1.190422904639286905e+00,1.557749941023471411e-02,8.005544450606405515e-01,-1.405134793575903318e+00,3.056220044692193466e-02,9.685430928476686241e-02,-2.106656489644782582e+00
2.999999999999999889e-01,4.840824327900941637e-02,1.877126460669594279e-02,3.398513249212927745e-01,-3.870990117104322614e-02,-1.975567768707355357e-02,-3.873914927806854785e-03,9.990476713018175969e-01,-2.702783133139355712e-02,2.478762444363911410e-01,-2.079056649688488356e+00,2.650117246357678799e-02,7.010743808338172345e-01,-1.147256932386868655e+00,1.555740374561907953e-02,8.475495161671293687e-01,-1.405369010246772632e+00,1.507017028016867551e-02,2.243834559548999602e-02,-2.073163606728677610e+00
3.499999999999999778e-01,6.175585857154912428e-02,2.590346553204628602e-02,3.408715629085651289e-01,-3.666870035675556805e-02,-4.524657054835565413e-03,-4.840631706793813854e-02,9.981441591075914666e-01,2.743169016996782617e-02,3.009037123154978399e-01,-1.869614694062530447e+00,4.102242807917923922e-02,7.012703198319081288e-01,-1.202953576477198583e+00,-7.701486831496771879e-02,8.720571541226840306e-01,-1.374479775422843497e+00,-5.152371425089814772e-02,8.596713527845403768e-02,-1.870403937636101910e+00
3.999999999999999667e-01,7.902746554163370130e-02,3.684034343255512822e-02,3.382188578823105418e-01,2.813026014064341079e-02,-3.927552231952855313e-03,-1.061803375331419469e-01,9.939411444945989160e-01,-3.595357271774276414e-02,5.213025348630274669e-01,-1.251912586964121665e+00,-5.725681501678882984e-02,2.025647000391121999e-01,-1.811905509208527665e+00,5.401430580665867592e-02,7.822773089708063843e-01,-2.016336026057538700e+00,6.702713537736904037e-02,4.032363538431436578e-01,-1.316564637644083824e+00
4.499999999999999556e-01,9.540937423117203109e-02,4.539558081507873849e-02,3.324817453908973097e-01,2.316550045007956249e-02,-1.377209481346943799e-02,-1.532503334997794842e-01,9.878198339148452911e-01,-5.358683085667483026e-03,6.282905219569426825e-01,-1.266454522065676658e+00,4.611216227852527223e-03,1.126058076654254218e-02,-2.007161509341171435e+00,-1.035355005263872627e-02,7.005898822764141665e-01,-2.221742228188542612e+00,5.536198573819923856e-03,4.463252961680422848e-01,-1.355149449971819076e+00
