FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
-3.207837567038821988e-03,7.188502548597617281e-01,-1.482116411512552245e+00,-3.144826911499461284e-03,7.228888447672906503e-01,-1.471823886767961609e+00,9.413259602466247239e-03,7.521438096453604283e-01,-1.551413815029917265e+00,9.465255956678551158e-03,7.646641540618694943e-01,-1.557685012528241097e+00
-9.375154836025455588e-03,7.258516067711118236e-01,-1.443672261322452188e+00,-9.092490974541808310e-03,7.372638656169927529e-01,-1.425809265567353101e+00,1.971087236432282619e-02,7.952988995961897123e-01,-1.587627752956248806e+00,2.005258738349759845e-02,8.275746109000087225e-01,-1.607727013066966748e+00
-1.822190618024004463e-02,6.978048109386968401e-01,-1.354359926970676087e+00,-1.796512056984418682e-02,7.184590145604353717e-01,-1.351578500452847553e+00,1.416820563019922409e-02,8.001005812135386641e-01,-1.565099543709012275e+00,1.477672779173964598e-02,8.445113067369151016e-01,-1.603708439404904373e+00
1.012076072596342600e-02,3.192791539078494445e-01,-1.865545178285453964e+00,-9.514091843897676259e-03,6.410625223235044690e-01,-1.289939168052430363e+00,1.728905922828825187e-02,6.882873467639479825e-01,-1.428998212471519702e+00,-4.792105328265977571e-02,4.786982841055973381e-01,-2.089693404362743756e+00
2.570618340540415953e-03,-9.131273433368779224e-02,-1.992370200048796836e+00,-8.952135616952263536e-03,5.812437194638280236e-01,-1.277446751980594764e+00,9.314737175624443824e-03,5.787530548727540802e-01,-1.300935564103906650e+00,3.053394458371367845e-02,1.875083308021862072e-01,-2.214144254014837720e+00
2.323396898620819391e-03,-2.774035138459554628e-01,-1.918084885414440999e+00,-2.776525328315698152e-03,5.405650312504020061e-01,-1.288250183452653852e+00,-2.357345574503349681e-02,5.278555629903285418e-01,-1.229021160516954980e+00,3.558730511809334723e-02,1.280543574522341188e-01,-2.208281868429420758e+00
1.889749744834618925e-02,-1.226641222240367202e-01,-1.678723722616034308e+00,8.352610658053891135e-02,5.132716566455837182e-01,-1.223391815897048707e+00,-1.794810355029746035e-02,6.120746811647965746e-01,-1.287406111726005831e+00,-1.094174124793457492e-01,5.082523931815881024e-01,-2.038922053417777658e+00
-5.850735165967709678e-02,8.465853484741062696e-01,-1.133461167455859009e+00,-3.779807972847545189e-02,4.533514150419602762e-02,-1.643629968738787417e+00,6.407707917973592959e-02,2.559699161661780353e-01,-1.855552685857957407e+00,7.872592865352712188e-02,7.293149071882534251e-01,-1.367349119450221195e+00
-1.814288002537607289e-02,8.331145242871093037e-01,-1.176286882791198085e+00,-1.066074503945586317e-02,-3.596079307825024163e-01,-1.786750323706462362e+00,-1.102653895510021659e-01,-2.798745449562585821e-02,-1.960228886628025302e+00,4.454373747389420851e-02,6.021009050216578062e-01,-1.321041725488959928e+00
-1.642624608865533853e-02,8.095961489334249084e-01,-1.135045391478438193e+00,5.952188409939793839e-02,-5.176341181832542215e-01,-1.745780725516536513e+00,-2.365969738517739382e-02,-7.180178260560969583e-02,-1.913345581533622219e+00,-5.107504129663347457e-03,5.517027573383569417e-01,-1.325093873759042307e+00
8.215840380248385158e-03,7.780108516160236798e-01,-1.085392788018487931e+00,-1.121279914880065898e-01,-3.152350046986168719e-01,-1.585355309129188539e+00,1.477305624691589159e-01,1.126166847402414739e-01,-1.679004237630622898e+00,-2.393621694230900834e-02,4.794277831840527138e-01,-1.284492955019813198e+00
1.020741643153398326e-01,5.135286041817306302e-01,-1.628657019844833576e+00,-6.384109160523142312e-02,8.148368225897395511e-01,-1.092264386600422021e+00,-1.152492041487717094e-03,5.320932502146453746e-01,-1.239423316076197601e+00,-8.189422360711068327e-02,1.108414034812586157e+00,-1.738362473719473389e+00
-5.925538790740007833e-02,4.179785661211410375e-02,-1.917570464023273136e+00,-1.306584707397219491e-02,8.620672351306413184e-01,-1.169503609981679793e+00,3.833337607749866954e-03,5.895610917590938804e-01,-1.248700983907164774e+00,-1.207943685827830675e-02,1.762395004831209144e+00,-1.628989799339737976e+00
-1.270869498978544586e-02,-1.885369893283506959e-01,-1.928667551562301741e+00,3.129974247482881361e-02,8.930367302051109846e-01,-1.219746342484588020e+00,-3.888110112425108983e-02,6.528442675104274562e-01,-1.213029753390870713e+00,8.570549860803292064e-02,1.994616904584514794e+00,-1.510111851401314764e+00
3.904324799140579394e-02,-2.786961100204344843e-01,-1.749799482977449694e+00,1.353444445144403041e-01,9.076479851172505331e-01,-1.174438813346152966e+00,-4.601939979740534564e-02,7.556863916051566044e-01,-1.174759782239689354e+00,-6.787448599496405388e-02,1.643503431484574673e+00,-1.449884206705006839e+00
-1.167179386046958839e-01,4.576933612479103797e-01,-1.201279775313874421e+00,-1.203531879490251921e-01,4.115808947860791767e-01,-1.653192618958302162e+00,8.452917806012243129e-02,9.515112952563433701e-01,-1.761326580254691798e+00,4.469537703468686937e-03,5.395537788117463762e-01,-1.172576340021134200e+00
-3.250092442867227047e-04,5.536450080949401054e-01,-1.259029089957020675e+00,8.738145187954918236e-03,-1.681778383688659617e-01,-1.802247701247346567e+00,-9.206264407886180501e-02,7.410038763615931501e-01,-1.935198499850716569e+00,9.643777506002051969e-03,5.225227884874333872e-01,-1.145416541017335810e+00
-3.370313945397284761e-04,6.204283729791841839e-01,-1.220965976696852140e+00,1.032584033757229791e-01,-4.555929413244764192e-01,-1.811010080456165072e+00,1.632133093050164990e-02,5.156807189449711393e-01,-1.895732102381622042e+00,-2.383195321144074286e-02,5.979376210079972997e-01,-1.177806073604570125e+00
6.726758686626016503e-02,6.730080666959182834e-01,-1.194850453993798967e+00,-7.284597037705477229e-02,-4.117360837452996303e-01,-1.669492170650471952e+00,2.044204982765848722e-02,2.393971889358088023e-01,-1.786136728271008778e+00,4.004931272701428568e-02,6.234182926837726901e-01,-1.106835301252403259e+00
7.335137344264106192e-03,1.159570833861215816e-01,-1.711410292524115473e+00,-6.325298071425201896e-02,3.771581221506407067e-01,-1.164803918427928853e+00,-4.488387748093730645e-02,4.487049067491474807e-01,-1.183366139635370073e+00,-6.882212363508004305e-02,9.655072975119624035e-01,-1.759499955303963858e+00
-7.476702798041377773e-02,-2.946502556528610151e-01,-1.898901295795126787e+00,-5.506540466508500972e-03,5.529396894213366442e-01,-1.276707823969044586e+00,6.611133557013286997e-03,5.967261250503804737e-01,-1.225802650568505792e+00,2.833131980730995564e-03,1.165998682664506569e+00,-1.919444205343568077e+00
-3.717451486952328809e-03,-4.223540886068918310e-01,-1.836106997748688796e+00,2.325423328791601310e-02,7.053861334684139450e-01,-1.374266831164347780e+00,-1.462082527771293647e-02,6.996429963738333146e-01,-1.170887896247911675e+00,8.788726715532020617e-02,1.124392374279107765e+00,-1.982193755726541662e+00
2.013499955539925848e-02,-4.384616259297005048e-01,-1.682563850299100494e+00,8.239707683850376607e-02,8.407787716130097344e-01,-1.418499526834650526e+00,-4.245114577445530113e-02,7.921349778523464336e-01,-1.067853453420148035e+00,-8.310833127751374172e-02,1.014002896974014023e+00,-1.842497088823743967e+00
-4.107700216386726139e-02,2.231896193682224583e-01,-1.234175830204756297e+00,-1.359670061130591745e-01,4.462867520812821009e-01,-1.870383234752795332e+00,2.373974666234172914e-02,1.747034325202801330e+00,-1.438666942628616052e+00,2.352020992728710500e-02,5.311578670188106255e-01,-1.296138612029847037e+00
-1.143695307482264951e-02,3.845951558775261292e-01,-1.333780047187409723e+00,2.350879315612260101e-02,-2.494505725528801676e-01,-1.980211578800461947e+00,-9.544704315635678393e-02,2.036370150479174690e+00,-1.553894332417374402e+00,-1.459908806711566857e-02,6.226702312700381770e-01,-1.319077699110319246e+00
-3.244705828749400861e-02,5.136430436889409812e-01,-1.370555039676494502e+00,1.017355068989154177e-01,-5.624700678228313766e-01,-1.962920332204495022e+00,7.128372349595020474e-02,1.778175436758825612e+00,-1.659697152026179179e+00,-4.170786047541465841e-02,7.231772856878037059e-01,-1.308335535605954947e+00
1.962279825830720928e-02,6.071292164232537925e-01,-1.430106926527692224e+00,-9.798402588998102181e-02,-5.584048901756475392e-01,-1.782423320587925852e+00,4.567935007214214693e-02,1.124829278142280398e+00,-1.739082974674960758e+00,7.129553605676260120e-02,7.363289815744067379e-01,-1.155086904529957659e+00
4.552436789650414484e-02,-9.864037324970306719e-02,-1.833011960947230179e+00,-2.859929173054200947e-03,2.117458299259950272e-01,-1.264446946087312673e+00,-6.917560699576660865e-02,4.996893833213115754e-01,-1.254589270703840631e+00,-1.158438792197758610e-01,7.368222738644990555e-01,-1.713285462553060023e+00
-9.500045856055985838e-02,-2.200292653394783082e-01,-2.309017568753033878e+00,1.418357625743293937e-02,4.439360128291753860e-01,-1.340332169436021736e+00,1.818619367309280352e-02,6.656972260525693130e-01,-1.281617898104455922e+00,2.557372425533995311e-02,8.227764608764895904e-01,-1.893162074914614745e+00
