t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,3.818914766771064985e-05,-1.220839467220789765e-04,2.988462518808110424e-01,-3.544328854963081470e-03,-9.208500673091334077e-03,-1.621689130785728327e-03,9.999500044365641216e-01,9.660715286193412993e-03,7.489300000694274484e-01,-1.560934896590959742e+00,9.654149124168875593e-03,7.452805500404230399e-01,-1.559555173190090516e+00,5.559240800561588390e-03,7.726595034239136517e-01,-1.610458477088770879e+00,5.560396696796350222e-03,7.664917321743869305e-01,-1.604003096861914335e+00
1.000000000000000056e-01,3.628275092976943235e-04,-1.103554349873091489e-04,2.920104629061299195e-01,-6.443055731218805607e-03,-1.639668971600915376e-02,8.975874500266713477e-04,9.998444028627508917e-01,1.189821321571725085e-02,7.763440491603406102e-01,-1.591723779407122175e+00,1.187856811939098228e-02,7.738274592493756820e-01,-1.582705781951982971e+00,1.457272433056137906e-02,8.147837231525764112e-01,-1.671760974895742935e+00,1.454170890239377643e-02,8.141154969906383432e-01,-1.666319908166661090e+00
1.500000000000000222e-01,-8.357165998129005395e-04,-7.096306543907358476e-05,2.950842545715108844e-01,-2.832370519771458799e-03,-2.154834660229805812e-02,3.261079142706317744e-03,9.997584767326411770e-01,1.437669055103989440e-03,7.640354232691783931e-01,-1.557421944708844430e+00,1.465713432070868665e-03,7.660407736202099471e-01,-1.548918737599158213e+00,1.014601660155175014e-02,8.134959146720293077e-01,-1.660515647832120800e+00,1.016174395894727661e-02,8.213056503576633416e-01,-1.663034661583259410e+00
2.000000000000000111e-01,-7.922155297037415667e-03,-9.840943150251101924e-04,3.072502598164493226e-01,4.477210272875070435e-04,-1.304383510179000713e-02,5.320649595332391235e-03,9.999006693665140055e-01,7.268540861614304627e-02,1.376591829677419054e-01,-2.062653425637467119e+00,-4.956039902182180282e-03,6.996195967788658709e-01,-1.487958607200544847e+00,8.419009258978876406e-03,7.194687168663906895e-01,-1.551252243174477075e+00,-3.574143418940033123e-02,1.226166160941328132e+00,-2.257902845561650995e+00
2.500000000000000000e-01,-1.532683149658087447e-02,-1.739679253729788750e-03,3.164049198696374798e-01,4.264090062210404257e-03,-6.403860937759224374e-03,7.837852608521539768e-03,9.999396862648858297e-01,-1.459516009836654866e-02,-2.227725010983272746e-01,-2.225130078106589693e+00,-1.390840151231793539e-02,6.429615923077932615e-01,-1.439640659228207165e+00,5.086715149647490913e-03,6.384235780969349516e-01,-1.460556524430612679e+00,5.856609402105292239e-02,1.720090590010568521e+00,-2.316738170958763554e+00
2.999999999999999889e-01,-2.434949724222011322e-02,-2.221242962887149796e-03,3.220069393745936814e-01,-2.169313853580896474e-03,-4.121874802238624145e-04,7.695800199510471765e-04,9.999972659590018464e-01,-4.016243255853629152e-02,-1.980509381075411246e-01,-2.268723708195189204e+00,1.011779706956716755e-02,5.837118922987006853e-01,-1.411336490061263493e+00,1.197162742898776749e-02,5.803614316096695758e-01,-1.406890916435196592e+00,5.406619136402033426e-02,1.935679182809241228e+00,-2.142775782046837385e+00
3.499999999999999778e-01,-3.368428254536647709e-02,-1.586135437524474352e-03,3.266150252014199951e-01,-3.024070909735823362e-03,1.050688940307011000e-03,-9.969739745324803643e-03,9.999451761658206816e-01,5.774958427203542854e-02,1.432187029024425406e-01,-2.049710327190533921e+00,2.589440548508790615e-02,5.281203426544602841e-01,-1.378058881265870284e+00,2.036368943094847214e-03,5.426449638805105335e-01,-1.372011917462203856e+00,-6.167494430232348113e-02,1.596338167597211033e+00,-1.839698491656585499e+00
3.999999999999999667e-01,-4.869938402071676692e-02,1.848497220452050222e-03,3.297265534972145806e-01,5.922643434402873920e-03,2.669959705067771402e-02,-2.504449862341114053e-02,9.993121769000827825e-01,-3.915309499156427453e-02,4.490800200765861505e-01,-1.413568048031474067e+00,-2.287174898991296834e-02,-1.235637188174708856e-01,-1.775357859067261845e+00,1.066211943265319984e-01,4.890146443032174495e-01,-1.941436544056057700e+00,2.930618247231224494e-02,6.663919043397856790e-01,-1.318697211310003947e+00
4.499999999999999556e-01,-6.712342189433852246e-02,2.692634993694988012e-03,3.256455739539942384e-01,8.860712683850083954e-03,4.517620205005167672e-02,-5.493135638294164430e-02,9.974282654030801609e-01,1.157126476965178279e-02,3.902553856053136982e-01,-1.441025350160394236e+00,6.086070211120158530e-02,-5.492986869455802612e-01,-2.030935331517071951e+00,-8.767073708199107224e-03,5.653530843067501310e-01,-2.219891195567580855e+00,-6.472848728757231440e-03,5.313767678982904696e-01,-1.276619146679023320e+00
