t,base_tx,base_ty,base_tz,quat_x,quat_y,quat_z,quat_w,FL_hip_joint,FL_thigh_joint,FL_calf_joint,FR_hip_joint,FR_thigh_joint,FR_calf_joint,RL_hip_joint,RL_thigh_joint,RL_calf_joint,RR_hip_joint,RR_thigh_joint,RR_calf_joint
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.113099999999999756e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00,0.000000000000000000e+00,6.999999999999999556e-01,-1.500000000000000000e+00
5.000000000000000278e-02,2.894085312783625623e-03,4.462062452713398491e-04,3.084211528902491839e-01,4.162297170559119477e-03,-1.229968126056122518e-02,4.121844664029219139e-03,9.999071974537028229e-01,-1.501131767406497890e-02,7.249985730539940665e-01,-1.489398443591213095e+00,-1.499508621889730255e-02,7.308872219632328582e-01,-1.486378044291412515e+00,-4.867335490449015145e-03,7.532058491481473661e-01,-1.547774775358786714e+00,-4.833996165051523790e-03,7.657727279081941729e-01,-1.557860091545569592e+00
1.000000000000000056e-01,7.287303501596918698e-03,1.371457108307017406e-03,3.065529215324901413e-01,3.672601496865577058e-03,-2.680100872134751067e-02,7.142311355202313021e-03,9.996085260332010503e-01,-2.032014514228219770e-02,7.549431596030153901e-01,-1.468892016327638439e+00,-2.022107553308396741e-02,7.611418955317673651e-01,-1.456354249451925487e+00,-2.838439814267899961e-03,8.189169385612700136e-01,-1.598209967692642675e+00,-2.732872942303293459e-03,8.376396557574622426e-01,-1.608370189613120838e+00
1.500000000000000222e-01,1.257902849515584072e-02,2.860555565751345380e-03,3.102950983666056817e-01,-4.752297016208127667e-03,-3.828812976082626718e-02,2.870317471965812620e-03,9.992513177725100837e-01,-2.814581167793798414e-03,7.717484617496540578e-01,-1.416882784207377899e+00,-2.735792924181009843e-03,7.645406036626637425e-01,-1.393110031234289226e+00,3.980284768535099875e-03,8.730773449248580009e-01,-1.614828809592778969e+00,4.009152629615431174e-03,8.720210876965539537e-01,-1.601884128284619235e+00
2.000000000000000111e-01,1.459465943857449211e-02,4.397932001971267997e-03,3.218674284356902726e-01,-6.639801814374212026e-03,-2.985114489262008855e-02,-3.392423931534837428e-03,9.995265447402257308e-01,2.010477234582740483e-02,7.651918132907561954e-02,-1.930502392737753814e+00,3.647638821560042141e-03,7.187874858684796253e-01,-1.332113405380767501e+00,-5.158869782667560057e-03,8.235541678169432389e-01,-1.525164146784764307e+00,-6.995214013279607568e-02,3.606869283808813997e-01,-2.119349333357907206e+00
2.500000000000000000e-01,2.158095815090596212e-02,5.593609136318737803e-03,3.290876861335096382e-01,-6.734848742924176047e-03,-2.868434468813536170e-02,-6.893879597180391401e-03,9.995420574474701558e-01,-9.903271364170046498e-02,-2.888287383431504263e-01,-2.076551902279169415e+00,4.073209063804373621e-03,7.080907706876936603e-01,-1.279973627672371217e+00,-1.317081961597930256e-02,8.220961470738388233e-01,-1.476525569146147188e+00,8.622097830964653431e-02,1.018790282249039530e-01,-2.248209265549790281e+00
2.999999999999999889e-01,3.094734301824005399e-02,5.829895533356635635e-03,3.305637898353003812e-01,-8.848602098659232376e-03,-2.839667517157146853e-02,-1.628875571993206386e-02,9.994248383531381119e-01,-6.929777273484737099e-02,-3.375804124881774393e-01,-2.028111280529491189e+00,1.666143628550116260e-02,7.239524340112746259e-01,-1.273283428098245018e+00,-2.315533406335286426e-02,8.566992000485177394e-01,-1.471261927645436618e+00,5.750506682174397199e-02,4.365504923010931487e-02,-2.200609873156611940e+00
3.499999999999999778e-01,4.240872489393976430e-02,5.611122852807203833e-03,3.283093908586375842e-01,7.712656418926947845e-03,-1.884431339741518552e-02,-2.696292084746899215e-02,9.994290408442796370e-01,1.220146193755129171e-01,-2.045109004463213365e-01,-1.844202337075233178e+00,-5.548631698840078737e-03,7.627715519530039456e-01,-1.337260169373492902e+00,-7.224582766664272571e-02,8.696276138498593156e-01,-1.449896780503289184e+00,-1.419288104372043446e-01,2.510256145195497446e-01,-1.990754438552405858e+00
3.999999999999999667e-01,5.315134676688885312e-02,5.135382413968005676e-03,3.280231697283036429e-01,2.422959270983733940e-02,-5.293755263060194102e-03,-2.446869147715611051e-02,9.993929087849913184e-01,-3.728068164796338735e-02,5.047257240837329517e-01,-1.312086493006455745e+00,-1.053421750920945366e-01,-3.560477574479002823e-03,-1.871265906645594335e+00,1.065928750806624248e-01,3.919803267694876303e-01,-2.021270296176008507e+00,2.805059471839531013e-02,8.316830095029689174e-01,-1.448398875923366358e+00
4.499999999999999556e-01,6.604405721134554152e-02,5.015526773730560710e-03,3.251905340116534315e-01,3.927241617915213506e-02,6.408163217511920508e-03,-3.136986597214979494e-02,9.987154471021856272e-01,-5.844899809396417872e-02,5.500861532793900333e-01,-1.368265062574215873e+00,9.475581442943638300e-02,-4.929454861678199684e-01,-2.015080421196893123e+00,-9.050565191768360218e-02,6.604689771281935240e-02,-2.144072395004644083e+00,-1.323344599336615662e-02,8.313380834247349194e-01,-1.429100667722960294e+00
4.999999999999999445e-01,8.327054335655575956e-02,5.260336084591739868e-03,3.227221919314404719e-01,4.794225109031429594e-02,1.548597616155090659e-02,-2.268590555637723175e-02,9.984723705700645491e-01,-9.148891607258327618e-02,6.040560192730562994e-01,-1.427337829675453529e+00,7.716964943438529845e-02,-6.551391109364935739e-01,-2.021519096297851981e+00,-9.863538368996678518e-02,-9.291111841135898941e-02,-2.096617666044691575e+00,-2.042627621348729397e-02,8.632845642571825850e-01,-1.410533308917224504e+00
5.499999999999999334e-01,1.039445123795686987e-01,5.539655117909737629e-03,3.218265501634064996e-01,2.791098276042160500e-02,3.494212408059675645e-02,-7.608265476208966697e-03,9.989705397570677325e-01,-7.558623499000419188e-02,6.605720472268337140e-01,-1.518005516394332677e+00,-1.530066651079673434e-01,-3.400997377651207021e-01,-1.911477983773135492e+00,6.885166124222463768e-02,5.288975858376878530e-02,-1.913559950170668156e+00,3.920517693791591290e-02,8.478927180765731819e-01,-1.320773116745770137e+00
5.999999999999999778e-01,1.261059260358557144e-01,4.066102065033610699e-03,3.212067930973928620e-01,-2.383995358972658060e-02,5.371574618177340360e-02,-9.262761819734719555e-04,9.982712142686523960e-01,1.063353401899546080e-01,1.571943417339119334e-03,-2.059763691474596925e+00,2.802129166366851276e-02,4.713489024766099322e-01,-1.514620870080065407e+00,-7.727532307818969770e-02,5.424785874735906788e-01,-1.364933278969926667e+00,-1.240388890841303549e-01,1.030460303282411783e+00,-1.940287177597661117e+00
6.500000000000000222e-01,1.472626410447967771e-01,4.290060410997249309e-03,3.205279996369601592e-01,-3.996822605269954171e-02,6.883490934659462768e-02,1.339857608952415950e-02,9.967370637837340563e-01,-1.365517143442518955e-01,-5.113399904966476894e-01,-2.202116548910750815e+00,3.720341820786852299e-02,5.413096088435348507e-01,-1.558566612198306833e+00,-2.980231587417295561e-02,5.494286940809761655e-01,-1.328286662313476363e+00,9.400022922475861908e-02,1.121311905391315200e+00,-2.164832461848909428e+00
7.000000000000000666e-01,1.715336995373031026e-01,5.534427116543945251e-03,3.204626464561467492e-01,-4.662760774738473890e-02,7.133815664547081548e-02,9.205202693122419705e-03,9.963192248700015741e-01,-1.728334742820479553e-01,-6.786003402397642326e-01,-2.170815008172366056e+00,5.538877945615030413e-02,6.188728652063112401e-01,-1.573102085863202992e+00,-2.299838241565174343e-02,6.143220219265093096e-01,-1.317796376014136017e+00,4.300059180370215117e-02,1.003523126873163474e+00,-2.152122770902169968e+00
7.500000000000001110e-01,1.989282434317176107e-01,8.369864474141694086e-03,3.201320204415299964e-01,-1.102590570137373764e-02,7.440735562163354466e-02,-1.050708204489214127e-02,9.971116166506948097e-01,8.605908900279125862e-02,-4.545475952852938706e-01,-2.003960452564918615e+00,-9.656406316050473743e-04,7.038197896113659313e-01,-1.609509589203134583e+00,-1.223736291602113280e-01,6.719739457754924095e-01,-1.264696120396286316e+00,-1.918168965962637473e-01,7.452063909969866007e-01,-1.920793412715331439e+00
8.000000000000001554e-01,2.264291964713530947e-01,1.385183736670994072e-02,3.215663322476277619e-01,3.892879308670411931e-02,8.457795170848422805e-02,-2.674122907755057191e-02,9.952969535877379537e-01,-2.377554055516540449e-02,3.278526980790408829e-01,-1.526888006517693075e+00,-1.715589077616875013e-01,-1.131294040102412968e-01,-2.137535086352374769e+00,1.200620015833503279e-01,6.553542261718174888e-01,-1.855564830987174174e+00,7.308443719907839475e-02,5.634908795925231972e-01,-1.272561595778169519e+00
8.500000000000001998e-01,2.571327881403432380e-01,1.664141102382732731e-02,3.218933368236420178e-01,6.794412730815695134e-02,7.619726135592494454e-02,-4.886946733574346752e-02,9.935740274828597229e-01,-6.189775629730982082e-02,4.676982976978091844e-01,-1.530400475843605390e+00,1.026437190960424878e-01,-6.073537133047450798e-01,-2.272452714921262107e+00,-9.299280316751518116e-02,5.559369213555257483e-01,-2.037212609065724322e+00,-2.530833272155505465e-02,6.479503732137480432e-01,-1.263226753733653451e+00
9.000000000000002442e-01,2.902538166147917154e-01,1.862952782781606212e-02,3.218426422252128605e-01,7.411648902084864987e-02,7.272548816147490769e-02,-4.779536430497251936e-02,9.934451935450956395e-01,-9.425369345431350299e-02,5.899390196554807897e-01,-1.551551614928419642e+00,1.201495435229447684e-01,-7.471268039994122256e-01,-2.233845012357280613e+00,-8.475305940251050274e-02,3.586930640353868105e-01,-2.024015482887850936e+00,-5.113748536613663825e-02,7.230454226662170747e-01,-1.213020329012193033e+00
9.500000000000002887e-01,3.259462184051993838e-01,1.986602064887415739e-02,3.202955169114043432e-01,3.996695778245914349e-02,8.614488166286278503e-02,-2.704419507749441023e-02,9.951132162530638148e-01,-6.483119462010324130e-02,7.033178003066286044e-01,-1.632218186752599776e+00,-1.224454224882873393e-01,-5.141279224708210638e-01,-2.060006558071316718e+00,1.342594419909876879e-01,2.115516947294774630e-01,-1.805975685102650052e+00,3.447442297947902329e-02,7.284112695872916321e-01,-1.063517996554312894e+00
1.000000000000000222e+00,3.630715258691008529e-01,1.824441837782501616e-02,3.187195053302908088e-01,-5.467290056413914856e-03,1.052431656440460939e-01,-8.437897995257995568e-03,9.943956892012759674e-01,1.478489355774534886e-01,-1.445763452186068498e-01,-2.147985514254632022e+00,2.400503652224977164e-03,2.358962977956362284e-01,-1.592897428507221713e+00,-8.627964531207917009e-02,2.727334726041162338e-01,-1.187438306147754918e+00,-1.223384287795620667e-01,1.302775868091405886e+00,-1.592427156726982540e+00
1.050000000000000266e+00,3.986790477510669395e-01,1.771801804300733585e-02,3.185379943049492790e-01,-3.552444571053798433e-02,1.123814635071613971e-01,1.502441339382858468e-02,9.929162539807266930e-01,-1.157298486320322839e-01,-6.733072292845923013e-01,-2.252548504706247012e+00,1.827733081594234629e-02,3.905512470496236843e-01,-1.647145529907606543e+00,-6.664446192030663157e-03,3.476035388943351512e-01,-1.190077218857225727e+00,1.045761543923855730e-01,1.630607592863343003e+00,-1.777489637618727247e+00
1.100000000000000311e+00,4.351033110451030805e-01,1.793285225726700891e-02,3.206793530084465216e-01,-5.294218991522850470e-02,1.146253605369341316e-01,1.231787938875217661e-02,9.919205719694101919e-01,-1.327500119370300935e-01,-8.494653595140132518e-01,-2.201463688550164832e+00,6.575211485767862296e-02,5.175158824905146115e-01,-1.668676632961194395e+00,2.758831405397934450e-02,4.379257673950722740e-01,-1.169395503115962631e+00,6.410024179572543224e-02,1.501118673401891757e+00,-1.806746328937908652e+00
1.150000000000000355e+00,4.737054099288235398e-01,1.923278762877242767e-02,3.228440005155236436e-01,-2.332834093334171938e-02,1.203678522701188414e-01,-1.426950828288770304e-02,9.923526337862671465e-01,1.048643735808775929e-01,-6.729269706028792042e-01,-2.021018982263021790e+00,4.132854485752462947e-02,6.316247487457947729e-01,-1.706793673121921984e+00,-5.945680639028246700e-02,4.997153485796826389e-01,-1.073576614928984929e+00,-1.974241438619669942e-01,9.837682207416003077e-01,-1.655937869670212059e+00
1.200000000000000400e+00,5.126746330054657852e-01,2.309109461864797611e-02,3.261953593555559361e-01,2.794189019474876967e-02,1.330423729363777174e-01,-4.192904456491370474e-02,9.898287392259712547e-01,8.527884644377639253e-03,1.179029064807359389e-01,-1.547445831941356209e+00,-1.603544802289874338e-01,-1.139201696799274216e-01,-2.205993735122949939e+00,1.375916657199078852e-01,8.783582691238480677e-01,-1.627976974771359719e+00,1.341953599368592431e-01,3.401008473675983246e-01,-1.078791636902080908e+00
1.250000000000000444e+00,5.507975219993828109e-01,2.414956569783596740e-02,3.258583028184007802e-01,6.243035279496155637e-02,1.256962170379083976e-01,-7.446264328904428353e-02,9.872984487107554497e-01,-1.477072839348795089e-02,3.137728508127487492e-01,-1.592275578406865177e+00,1.186311654108141850e-01,-6.735644808214735768e-01,-2.304305704161712320e+00,-9.756795218759423127e-02,1.074564565359687363e+00,-1.804968729135829619e+00,1.845008889068486257e-02,4.325915882940595258e-01,-1.069440990788900425e+00
1.300000000000000488e+00,5.894280623302493582e-01,2.328491572925815017e-02,3.261654967385296255e-01,7.107887267141634047e-02,1.187559563161725978e-01,-7.476476255035448271e-02,9.875500225203688309e-01,-5.437456956677354930e-02,4.708643787397274738e-01,-1.623855611776493735e+00,1.449844488834515221e-01,-8.657219252878314286e-01,-2.245773653519644419e+00,-6.424458038061517384e-02,9.444529407158192003e-01,-1.814099672042845501e+00,-1.351501276099350071e-02,5.202735110830508658e-01,-1.015408846173563751e+00
